GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	Bias	geneRatio
GO:0006099	BP	e	tricarboxylic acid cycle	10/1145	30/29107	1.249296966236404e-07	3	10	0.001552751199335226	1431.0, 1737.0, 3419.0, 3421.0, 4191.0, 4967.0, 5160.0, 8802.0, 23530.0, 130752.0	2.8088981266359654	dlpfc	AA	0.017467248908296942
GO:0006107	BP	e	oxaloacetate metabolic process	6/1145	9/29107	2.774756132479633e-07	7	6	0.001724372198529468	2805.0, 2806.0, 4191.0, 5106.0, 56954.0, 130752.0	2.7633689877449488	dlpfc	AA	0.010480349344978166
GO:0035195	BP	p	gene silencing by miRNA	2/1145	557/29107	1.282919684695106e-06	10	2	0.005315136253691823	81571.0, 693166.0	2.274485597844725	dlpfc	AA	0.0034934497816593887
GO:0030424	CC	e	axon	32/1145	318/29107	1.311161003602216e-06	5	32	0.0009961972992674176	547.0, 1982.0, 2258.0, 2931.0, 2932.0, 3737.0, 3745.0, 3746.0, 3748.0, 3749.0, 3897.0, 4130.0, 4131.0, 4137.0, 4741.0, 5058.0, 6335.0, 6547.0, 6606.0, 6812.0, 6861.0, 8567.0, 8927.0, 10044.0, 22859.0, 22983.0, 23095.0, 50488.0, 54800.0, 112755.0, 127833.0, 387804.0	3.001654639992561	dlpfc	AA	0.05589519650655022
GO:0004984	MF	p	olfactory receptor activity	0/1145	399/29107	1.571882930414105e-06	4	0	0.005332427434466287		2.2730750458692133	dlpfc	AA	0.0
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	0/1145	401/29107	1.749299795053499e-06	5	0	0.005435511788179985		2.2647595580508746	dlpfc	AA	0.0
GO:0005783	CC	e	endoplasmic reticulum	76/1145	1040/29107	2.980735506333337e-06	5	76	0.0009961972992674176	831.0, 1384.0, 1717.0, 2132.0, 2137.0, 2264.0, 3140.0, 4257.0, 4923.0, 5130.0, 5578.0, 5604.0, 5771.0, 6281.0, 6732.0, 6892.0, 7060.0, 7095.0, 7841.0, 8372.0, 8516.0, 8878.0, 9107.0, 9217.0, 9468.0, 9524.0, 9695.0, 9900.0, 9911.0, 10280.0, 10299.0, 10317.0, 10424.0, 10463.0, 10483.0, 10505.0, 10554.0, 10558.0, 10682.0, 22920.0, 23017.0, 23344.0, 23509.0, 23585.0, 51060.0, 51201.0, 51246.0, 51257.0, 51478.0, 51594.0, 51754.0, 54972.0, 54982.0, 55379.0, 55697.0, 56605.0, 56776.0, 56894.0, 57540.0, 58485.0, 64848.0, 66036.0, 79844.0, 83723.0, 83787.0, 83857.0, 90993.0, 94101.0, 112609.0, 115817.0, 124925.0, 154197.0, 204219.0, 206358.0, 439921.0, 497661.0	3.001654639992561	dlpfc	AA	0.13275109170305677
GO:0005789	CC	e	endoplasmic reticulum membrane	82/1145	973/29107	3.050827400036589e-06	4	82	0.0009961972992674176	537.0, 1314.0, 1543.0, 1717.0, 1798.0, 1956.0, 2132.0, 2137.0, 2475.0, 3140.0, 3737.0, 3845.0, 4257.0, 5130.0, 6547.0, 6892.0, 7841.0, 8605.0, 8818.0, 9217.0, 9276.0, 9468.0, 9488.0, 9524.0, 9911.0, 10280.0, 10299.0, 10483.0, 10554.0, 10558.0, 10682.0, 10745.0, 22883.0, 23256.0, 23344.0, 23544.0, 23769.0, 23780.0, 26002.0, 26470.0, 27087.0, 28972.0, 51201.0, 51246.0, 51257.0, 51478.0, 51594.0, 54972.0, 54982.0, 55379.0, 56603.0, 56605.0, 56776.0, 56894.0, 57488.0, 57535.0, 57540.0, 63874.0, 64788.0, 79844.0, 79966.0, 80270.0, 83723.0, 83787.0, 83850.0, 84932.0, 85465.0, 90993.0, 93492.0, 94005.0, 94101.0, 112609.0, 128486.0, 145173.0, 154197.0, 165679.0, 202052.0, 204219.0, 255022.0, 548645.0, 729238.0, 100101267.0	3.001654639992561	dlpfc	AA	0.14323144104803492
GO:0005524	MF	e	ATP binding	100/1145	1458/29107	3.060369804529426e-06	8	100	0.005332427434466287	31.0, 132.0, 493.0, 537.0, 547.0, 1160.0, 1185.0, 1653.0, 1769.0, 1956.0, 2011.0, 2068.0, 2264.0, 2475.0, 2931.0, 2932.0, 3098.0, 3421.0, 3702.0, 3795.0, 4175.0, 4293.0, 4905.0, 4940.0, 4998.0, 5026.0, 5058.0, 5165.0, 5198.0, 5213.0, 5291.0, 5297.0, 5524.0, 5566.0, 5578.0, 5595.0, 5603.0, 5604.0, 5607.0, 5705.0, 6196.0, 6259.0, 6732.0, 7006.0, 7332.0, 7407.0, 7443.0, 7520.0, 8195.0, 8224.0, 8317.0, 8458.0, 8476.0, 8565.0, 8711.0, 8737.0, 8833.0, 8877.0, 9175.0, 9361.0, 9785.0, 9917.0, 10000.0, 10079.0, 10469.0, 10667.0, 22848.0, 22853.0, 22880.0, 22983.0, 23095.0, 23170.0, 23395.0, 23729.0, 27183.0, 50488.0, 51701.0, 54981.0, 54986.0, 55278.0, 55687.0, 57787.0, 63826.0, 64848.0, 79705.0, 79858.0, 80179.0, 80222.0, 83549.0, 84930.0, 91461.0, 127602.0, 150094.0, 255239.0, 259217.0, 260425.0, 283455.0, 283459.0, 317781.0, 548596.0	2.2730750458692133	dlpfc	AA	0.17467248908296942
GO:0005739	CC	e	mitochondrion	105/1145	1305/29107	3.675462409939416e-06	5	105	0.0009961972992674176	291.0, 411.0, 501.0, 823.0, 1160.0, 1384.0, 1431.0, 1653.0, 1737.0, 2011.0, 2232.0, 2309.0, 2537.0, 2806.0, 2820.0, 2931.0, 2932.0, 3098.0, 3419.0, 3421.0, 3607.0, 4137.0, 4191.0, 4257.0, 4710.0, 4711.0, 4898.0, 4923.0, 4967.0, 5106.0, 5160.0, 5165.0, 5264.0, 5566.0, 5578.0, 5595.0, 5604.0, 6150.0, 6812.0, 7818.0, 8192.0, 8209.0, 8228.0, 8546.0, 8604.0, 8737.0, 8739.0, 8802.0, 8878.0, 8996.0, 9054.0, 9329.0, 9361.0, 9673.0, 9722.0, 9927.0, 10102.0, 10367.0, 10469.0, 10651.0, 10667.0, 10884.0, 22843.0, 23095.0, 23395.0, 23408.0, 23530.0, 23786.0, 25953.0, 26024.0, 26056.0, 26128.0, 26517.0, 29074.0, 29083.0, 51660.0, 51754.0, 55173.0, 55278.0, 55687.0, 56942.0, 57546.0, 63874.0, 64837.0, 65260.0, 79085.0, 79680.0, 79705.0, 79944.0, 80179.0, 83637.0, 83787.0, 84340.0, 89876.0, 90529.0, 91574.0, 112817.0, 116447.0, 133522.0, 160760.0, 171425.0, 196294.0, 283459.0, 339983.0, 548596.0	3.001654639992561	dlpfc	AA	0.18340611353711792
GO:0022626	CC	e	cytosolic ribosome	18/967	76/29107	1.838442790106847e-07	6	18	0.0003222790211057303	347.0, 6124.0, 6134.0, 6135.0, 6137.0, 6144.0, 6161.0, 6164.0, 6168.0, 6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6205.0, 6224.0, 6228.0, 6229.0	3.491767964157396	dlpfc	EA	0.03722854188210962
GO:0003735	MF	e	structural constituent of ribosome	25/967	163/29107	5.326502271030244e-07	2	25	0.002354314003795368	6124.0, 6134.0, 6135.0, 6137.0, 6144.0, 6161.0, 6164.0, 6166.0, 6168.0, 6181.0, 6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6205.0, 6224.0, 6228.0, 6229.0, 6234.0, 9801.0, 51081.0, 60488.0, 64963.0, 64983.0	2.628135614125923	dlpfc	EA	0.05170630816959669
GO:0006412	BP	e	translation	24/967	195/29107	6.335239449043663e-07	7	24	0.004787782678537995	6124.0, 6134.0, 6135.0, 6137.0, 6144.0, 6161.0, 6164.0, 6166.0, 6168.0, 6181.0, 6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6205.0, 6224.0, 6228.0, 6229.0, 6234.0, 9801.0, 51081.0, 64963.0, 64983.0	2.31986557080818	dlpfc	EA	0.04963805584281282
GO:0022627	CC	e	cytosolic small ribosomal subunit	12/967	41/29107	6.872503752425034e-07	5	12	0.0006023749539000542	6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6205.0, 6224.0, 6228.0, 6229.0, 6234.0, 64963.0, 83939.0	3.2201330939274277	dlpfc	EA	0.02481902792140641
GO:0002181	BP	e	cytoplasmic translation	18/967	85/29107	7.704212211019382e-07	8	18	0.004787782678537995	6124.0, 6134.0, 6135.0, 6137.0, 6144.0, 6161.0, 6164.0, 6168.0, 6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6205.0, 6224.0, 6228.0, 6229.0, 6234.0	2.31986557080818	dlpfc	EA	0.03722854188210962
GO:0006898	BP	e	receptor-mediated endocytosis	12/967	70/29107	3.048342351172604e-06	6	12	0.01016048729181817	154.0, 948.0, 1601.0, 2017.0, 4360.0, 4481.0, 7048.0, 8029.0, 8578.0, 23166.0, 201176.0, 283420.0	1.9930854630094974	dlpfc	EA	0.02481902792140641
GO:0035195	BP	p	gene silencing by miRNA	2/967	557/29107	3.269929130845013e-06	10	2	0.01016048729181817	8994.0, 407008.0	1.9930854630094974	dlpfc	EA	0.004136504653567736
GO:0046872	MF	e	metal ion binding	128/967	2297/29107	3.577797442415075e-06	4	128	0.005803961699356742	48.0, 267.0, 414.0, 580.0, 657.0, 695.0, 1300.0, 1534.0, 2021.0, 2110.0, 3685.0, 3716.0, 4026.0, 4200.0, 4494.0, 4495.0, 4496.0, 4512.0, 4521.0, 4671.0, 4752.0, 4831.0, 5137.0, 5446.0, 5580.0, 5583.0, 5618.0, 5742.0, 6168.0, 6505.0, 6610.0, 7048.0, 7305.0, 7552.0, 7652.0, 7691.0, 7718.0, 7764.0, 7767.0, 7769.0, 7772.0, 8515.0, 8569.0, 8704.0, 8994.0, 9501.0, 9767.0, 10793.0, 10863.0, 11097.0, 11173.0, 11179.0, 11214.0, 22803.0, 22856.0, 23300.0, 23371.0, 23608.0, 23683.0, 26007.0, 26286.0, 29116.0, 29994.0, 51020.0, 51321.0, 51668.0, 55124.0, 55351.0, 55454.0, 55552.0, 55768.0, 55769.0, 55781.0, 55796.0, 56922.0, 56931.0, 57116.0, 57615.0, 64131.0, 64283.0, 64320.0, 64581.0, 79364.0, 79443.0, 79673.0, 79740.0, 79778.0, 79943.0, 81035.0, 83444.0, 83744.0, 84107.0, 84168.0, 84436.0, 84614.0, 84868.0, 84874.0, 84914.0, 90333.0, 90594.0, 90987.0, 91703.0, 93100.0, 93134.0, 113835.0, 115209.0, 118987.0, 125893.0, 136051.0, 140612.0, 147694.0, 151313.0, 161823.0, 162655.0, 162993.0, 169841.0, 200035.0, 254295.0, 284106.0, 285498.0, 342908.0, 344905.0, 345462.0, 388512.0, 388523.0, 390927.0, 442117.0, 730087.0	2.23627546215658	dlpfc	EA	0.2647362978283351
GO:0005524	MF	e	ATP binding	85/967	1458/29107	3.939340519925391e-06	8	85	0.005803961699356742	368.0, 657.0, 695.0, 1021.0, 1025.0, 1062.0, 1119.0, 1159.0, 1606.0, 2182.0, 3551.0, 3716.0, 4671.0, 4752.0, 4831.0, 5096.0, 5166.0, 5207.0, 5244.0, 5286.0, 5289.0, 5580.0, 5583.0, 5586.0, 5592.0, 5826.0, 5836.0, 6300.0, 6584.0, 6832.0, 6850.0, 7010.0, 7011.0, 7048.0, 7075.0, 7273.0, 8569.0, 9557.0, 9585.0, 10060.0, 10257.0, 10461.0, 10928.0, 10973.0, 22989.0, 23093.0, 23200.0, 23262.0, 23460.0, 23683.0, 26007.0, 29904.0, 54555.0, 55149.0, 55191.0, 55210.0, 55351.0, 55614.0, 55781.0, 56155.0, 56474.0, 56922.0, 57176.0, 57696.0, 57761.0, 63979.0, 79731.0, 79781.0, 79876.0, 80216.0, 83752.0, 84515.0, 113220.0, 113510.0, 140469.0, 146754.0, 158067.0, 196385.0, 200576.0, 220869.0, 284076.0, 344905.0, 375748.0, 653857.0, 102724428.0	2.23627546215658	dlpfc	EA	0.17580144777662876
GO:0005829	CC	e	cytosol	257/967	5294/29107	4.421111796731673e-06	2	257	0.002308512573627569	48.0, 88.0, 191.0, 199.0, 267.0, 353.0, 397.0, 409.0, 635.0, 695.0, 760.0, 843.0, 1021.0, 1062.0, 1119.0, 1122.0, 1601.0, 1606.0, 1666.0, 1677.0, 1828.0, 1933.0, 1964.0, 2017.0, 2021.0, 2784.0, 3071.0, 3073.0, 3176.0, 3394.0, 3551.0, 3606.0, 3635.0, 3664.0, 3685.0, 3716.0, 3838.0, 4026.0, 4121.0, 4301.0, 4478.0, 4481.0, 4521.0, 4606.0, 4683.0, 4703.0, 4799.0, 4804.0, 4831.0, 5096.0, 5137.0, 5207.0, 5239.0, 5244.0, 5269.0, 5286.0, 5289.0, 5336.0, 5366.0, 5464.0, 5580.0, 5583.0, 5586.0, 5592.0, 5611.0, 5836.0, 5925.0, 5934.0, 5996.0, 6001.0, 6124.0, 6134.0, 6135.0, 6137.0, 6144.0, 6161.0, 6164.0, 6166.0, 6168.0, 6181.0, 6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6205.0, 6224.0, 6228.0, 6229.0, 6234.0, 6284.0, 6300.0, 6502.0, 6584.0, 6606.0, 6642.0, 6652.0, 6799.0, 6850.0, 7048.0, 7174.0, 7273.0, 8029.0, 8086.0, 8293.0, 8500.0, 8569.0, 8574.0, 8994.0, 9023.0, 9025.0, 9104.0, 9108.0, 9141.0, 9352.0, 9410.0, 9557.0, 9585.0, 9712.0, 9894.0, 10019.0, 10325.0, 10345.0, 10450.0, 10788.0, 10841.0, 10901.0, 10928.0, 10929.0, 10965.0, 10973.0, 11097.0, 11157.0, 11214.0, 22898.0, 22903.0, 22989.0, 23093.0, 23102.0, 23194.0, 23234.0, 23262.0, 23263.0, 23421.0, 23533.0, 23600.0, 23608.0, 23683.0, 23743.0, 25839.0, 25895.0, 26007.0, 26230.0, 26256.0, 26258.0, 26286.0, 27143.0, 27175.0, 27185.0, 29116.0, 29899.0, 29904.0, 30061.0, 51074.0, 51084.0, 51099.0, 51171.0, 51399.0, 51473.0, 51665.0, 51690.0, 54014.0, 54458.0, 54466.0, 54583.0, 54885.0, 54908.0, 55055.0, 55128.0, 55191.0, 55215.0, 55303.0, 55614.0, 55664.0, 55718.0, 55768.0, 55781.0, 55835.0, 56474.0, 56922.0, 57176.0, 57405.0, 57407.0, 57602.0, 57696.0, 57713.0, 57718.0, 57761.0, 64283.0, 64320.0, 64359.0, 64759.0, 65109.0, 79017.0, 79026.0, 79622.0, 79731.0, 79778.0, 79825.0, 79876.0, 80216.0, 80243.0, 80336.0, 80709.0, 81704.0, 83547.0, 83752.0, 84079.0, 84084.0, 84515.0, 85313.0, 85415.0, 89122.0, 91010.0, 91107.0, 91703.0, 93100.0, 93426.0, 114294.0, 118460.0, 119391.0, 121952.0, 123872.0, 126433.0, 129401.0, 130916.0, 137492.0, 139818.0, 151393.0, 152137.0, 152206.0, 158067.0, 161823.0, 171568.0, 200035.0, 200576.0, 201176.0, 201456.0, 253714.0, 259173.0, 284076.0, 345275.0, 387893.0, 440145.0, 653784.0, 729359.0, 100885848.0	2.636667755662461	dlpfc	EA	0.531540847983454
