GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	Bias	geneRatio
GO:0002181	BP	e	cytoplasmic translation	19/1190	85/29107	3.039939125345562e-07	8	19	0.003778340338891999	4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 6231.0, 9045.0, 23521.0	2.4226989250151365	caudate	AA	0.031932773109243695
GO:0022626	CC	e	cytosolic ribosome	18/1190	76/29107	3.727441464681205e-07	6	18	0.0006449549503359769	4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 9045.0, 23521.0	3.190470619479113	caudate	AA	0.030252100840336135
GO:0005840	CC	e	ribosome	13/1190	51/29107	7.475915809185716e-07	5	13	0.0006449549503359769	821.0, 6133.0, 6155.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 23521.0, 27230.0	3.190470619479113	caudate	AA	0.021848739495798318
GO:0045296	MF	e	cadherin binding	35/1190	315/29107	8.495437792445372e-07	4	35	0.001333322794776442	831.0, 1000.0, 1003.0, 1399.0, 1499.0, 1968.0, 1982.0, 2010.0, 3069.0, 3655.0, 3688.0, 3799.0, 5795.0, 5800.0, 5861.0, 6130.0, 6231.0, 6520.0, 6772.0, 8350.0, 8352.0, 8826.0, 9045.0, 9748.0, 10652.0, 23075.0, 26136.0, 26156.0, 27044.0, 55357.0, 55742.0, 55833.0, 64072.0, 79180.0, 128866.0	2.875064696033095	caudate	AA	0.058823529411764705
GO:0005525	MF	e	GTP binding	40/1190	373/29107	8.802972494700031e-07	8	40	0.001333322794776442	378.0, 1968.0, 2778.0, 2909.0, 2935.0, 4218.0, 4599.0, 4600.0, 4881.0, 4882.0, 5861.0, 5865.0, 5878.0, 5899.0, 5908.0, 7052.0, 7280.0, 7818.0, 8790.0, 9077.0, 9364.0, 9927.0, 10981.0, 11031.0, 22808.0, 22931.0, 23433.0, 50808.0, 51762.0, 54974.0, 54988.0, 55303.0, 57826.0, 64121.0, 64901.0, 84340.0, 84617.0, 84790.0, 161253.0, 387496.0	2.875064696033095	caudate	AA	0.06722689075630252
GO:0003735	MF	e	structural constituent of ribosome	22/1190	163/29107	9.049702226989425e-07	2	22	0.001333322794776442	4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6150.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 6231.0, 7818.0, 9045.0, 23521.0, 57129.0	2.875064696033095	caudate	AA	0.03697478991596639
GO:0001938	BP	e	positive regulation of endothelial cell proliferation	14/1190	72/29107	1.09872171461498e-06	7	14	0.006103512683857143	650.0, 2277.0, 2475.0, 3148.0, 3690.0, 5578.0, 6387.0, 7060.0, 7423.0, 8828.0, 10000.0, 25865.0, 55109.0, 56005.0	2.214420148572242	caudate	AA	0.023529411764705882
GO:0005925	CC	e	focal adhesion	58/1190	418/29107	1.103744923564136e-06	5	58	0.0006449549503359769	567.0, 824.0, 966.0, 975.0, 976.0, 1000.0, 1499.0, 2037.0, 2195.0, 2665.0, 3339.0, 3655.0, 3688.0, 3690.0, 4736.0, 4988.0, 5747.0, 5786.0, 5817.0, 5829.0, 6122.0, 6130.0, 6132.0, 6133.0, 6155.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 6840.0, 7052.0, 7525.0, 8462.0, 8516.0, 8675.0, 8754.0, 8826.0, 9902.0, 10015.0, 10095.0, 11078.0, 11170.0, 11261.0, 23332.0, 23521.0, 23603.0, 26136.0, 26986.0, 29843.0, 54914.0, 55740.0, 55742.0, 55901.0, 57514.0	3.190470619479113	caudate	AA	0.09747899159663866
GO:0006412	BP	e	translation	24/1190	195/29107	1.597443877935186e-06	7	24	0.006103512683857143	1981.0, 2935.0, 4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6150.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 6231.0, 9045.0, 23521.0, 113251.0, 100132147.0	2.214420148572242	caudate	AA	0.040336134453781515
GO:0035195	BP	p	gene silencing by miRNA	1/1190	557/29107	2.197443154695938e-06	10	1	0.006103512683857143	3692.0	2.214420148572242	caudate	AA	0.0016806722689075631
GO:0035195	BP	p	gene silencing by miRNA	0/1061	557/29107	1.788159606520666e-06	10	0	0.02222503574944536		1.6531575317852238	caudate	EA	0.0
GO:0005739	CC	e	mitochondrion	92/1061	1305/29107	2.258684796421746e-06	5	92	0.003959474448127321	670.0, 842.0, 1159.0, 1340.0, 1371.0, 2671.0, 3978.0, 4521.0, 4704.0, 4713.0, 4722.0, 4724.0, 5096.0, 5300.0, 5366.0, 5521.0, 5997.0, 6300.0, 6389.0, 6391.0, 6622.0, 7019.0, 7263.0, 8165.0, 8774.0, 9801.0, 9804.0, 9868.0, 9941.0, 9997.0, 10131.0, 10863.0, 10901.0, 23593.0, 23600.0, 23770.0, 23788.0, 25959.0, 26995.0, 27349.0, 29093.0, 51295.0, 51312.0, 51657.0, 54543.0, 54998.0, 55127.0, 55149.0, 55210.0, 55268.0, 55316.0, 55471.0, 55744.0, 55753.0, 55812.0, 56181.0, 56624.0, 56922.0, 57110.0, 57128.0, 57176.0, 57505.0, 60491.0, 60528.0, 64978.0, 79731.0, 79810.0, 80142.0, 80224.0, 84303.0, 84705.0, 85865.0, 93587.0, 93974.0, 113451.0, 115286.0, 124454.0, 126129.0, 126789.0, 130916.0, 132001.0, 151393.0, 219293.0, 219402.0, 219970.0, 255027.0, 255189.0, 256643.0, 282808.0, 284106.0, 728294.0, 102724023.0	2.402362455343511	caudate	EA	0.17342130065975495
GO:0046872	MF	e	metal ion binding	134/1061	2297/29107	4.106062176002144e-06	4	134	0.01315966790540879	91.0, 102.0, 107.0, 114.0, 414.0, 1124.0, 1297.0, 1302.0, 1466.0, 1534.0, 1663.0, 1815.0, 2021.0, 2110.0, 3792.0, 3978.0, 4494.0, 4495.0, 4521.0, 4671.0, 4752.0, 4843.0, 5137.0, 5324.0, 5446.0, 5533.0, 5742.0, 6391.0, 6610.0, 6769.0, 7375.0, 7633.0, 7652.0, 7681.0, 7691.0, 7718.0, 7769.0, 7772.0, 8001.0, 8437.0, 8543.0, 8748.0, 9014.0, 9310.0, 9331.0, 9463.0, 9924.0, 9941.0, 10003.0, 10010.0, 10172.0, 10572.0, 10739.0, 10780.0, 10863.0, 11244.0, 22869.0, 22888.0, 23113.0, 23300.0, 23770.0, 25870.0, 26145.0, 26152.0, 27107.0, 27295.0, 29116.0, 29954.0, 51167.0, 51668.0, 55124.0, 55316.0, 55503.0, 55552.0, 55753.0, 55781.0, 55790.0, 56302.0, 56922.0, 56931.0, 56978.0, 57615.0, 60528.0, 65251.0, 79149.0, 79258.0, 79364.0, 79673.0, 79778.0, 79817.0, 79882.0, 79943.0, 80224.0, 81035.0, 83444.0, 84100.0, 84268.0, 84622.0, 84735.0, 84874.0, 84954.0, 89846.0, 93134.0, 94122.0, 113835.0, 115209.0, 115560.0, 116225.0, 116983.0, 116985.0, 116987.0, 125893.0, 136051.0, 144402.0, 151313.0, 161823.0, 168544.0, 169841.0, 199221.0, 200035.0, 201164.0, 220002.0, 254295.0, 283337.0, 284106.0, 342132.0, 342908.0, 359948.0, 388512.0, 388523.0, 388536.0, 390928.0, 654254.0, 100293516.0	1.8807550703473108	caudate	EA	0.2525918944392083
GO:0005515	MF	e	protein binding	600/1061	12417/29107	5.954600862175923e-06	2	600	0.01315966790540879	91.0, 100.0, 102.0, 148.0, 157.0, 191.0, 258.0, 321.0, 341.0, 347.0, 353.0, 358.0, 367.0, 613.0, 631.0, 648.0, 652.0, 760.0, 842.0, 925.0, 949.0, 958.0, 1039.0, 1124.0, 1138.0, 1159.0, 1183.0, 1297.0, 1302.0, 1360.0, 1388.0, 1441.0, 1466.0, 1495.0, 1519.0, 1534.0, 1540.0, 1612.0, 1663.0, 1725.0, 1728.0, 1815.0, 1824.0, 1828.0, 1964.0, 2009.0, 2017.0, 2021.0, 2038.0, 2057.0, 2065.0, 2110.0, 2123.0, 2218.0, 2261.0, 2267.0, 2328.0, 2444.0, 2553.0, 2647.0, 2671.0, 2784.0, 2786.0, 2861.0, 2962.0, 2979.0, 2982.0, 3040.0, 3073.0, 3108.0, 3146.0, 3356.0, 3359.0, 3568.0, 3576.0, 3592.0, 3635.0, 3732.0, 3759.0, 3792.0, 3838.0, 3852.0, 4036.0, 4040.0, 4047.0, 4057.0, 4072.0, 4085.0, 4174.0, 4296.0, 4311.0, 4355.0, 4436.0, 4494.0, 4495.0, 4521.0, 4537.0, 4647.0, 4671.0, 4683.0, 4703.0, 4704.0, 4713.0, 4722.0, 4724.0, 4752.0, 4804.0, 4843.0, 4868.0, 4999.0, 5023.0, 5096.0, 5129.0, 5138.0, 5224.0, 5289.0, 5293.0, 5300.0, 5336.0, 5366.0, 5521.0, 5533.0, 5557.0, 5592.0, 5598.0, 5600.0, 5635.0, 5702.0, 5742.0, 5789.0, 5797.0, 5918.0, 5921.0, 5950.0, 5961.0, 5973.0, 5997.0, 6118.0, 6134.0, 6208.0, 6234.0, 6262.0, 6300.0, 6389.0, 6391.0, 6447.0, 6452.0, 6584.0, 6606.0, 6610.0, 6622.0, 6631.0, 6642.0, 6654.0, 6658.0, 6769.0, 6799.0, 6920.0, 7019.0, 7091.0, 7099.0, 7103.0, 7138.0, 7174.0, 7182.0, 7186.0, 7225.0, 7249.0, 7320.0, 7347.0, 7375.0, 7424.0, 7633.0, 7681.0, 7718.0, 7772.0, 7917.0, 7923.0, 8029.0, 8045.0, 8086.0, 8165.0, 8175.0, 8242.0, 8263.0, 8269.0, 8293.0, 8363.0, 8365.0, 8367.0, 8449.0, 8507.0, 8543.0, 8549.0, 8774.0, 8856.0, 8888.0, 8911.0, 8986.0, 9014.0, 9015.0, 9025.0, 9051.0, 9071.0, 9091.0, 9098.0, 9296.0, 9362.0, 9401.0, 9410.0, 9425.0, 9443.0, 9463.0, 9559.0, 9585.0, 9701.0, 9717.0, 9801.0, 9804.0, 9811.0, 9852.0, 9868.0, 9894.0, 9906.0, 9924.0, 9997.0, 10003.0, 10008.0, 10010.0, 10038.0, 10109.0, 10131.0, 10161.0, 10172.0, 10309.0, 10314.0, 10361.0, 10457.0, 10466.0, 10486.0, 10572.0, 10607.0, 10690.0, 10776.0, 10841.0, 10863.0, 11059.0, 11060.0, 11197.0, 11244.0, 22844.0, 22874.0, 22888.0, 22911.0, 22915.0, 22950.0, 22977.0, 23020.0, 23047.0, 23113.0, 23189.0, 23194.0, 23221.0, 23234.0, 23283.0, 23300.0, 23392.0, 23416.0, 23421.0, 23463.0, 23549.0, 23582.0, 23583.0, 23592.0, 23593.0, 23604.0, 23770.0, 23788.0, 25791.0, 25796.0, 25839.0, 25870.0, 25876.0, 25885.0, 25896.0, 25959.0, 25989.0, 26045.0, 26094.0, 26145.0, 26150.0, 26152.0, 26270.0, 26272.0, 26273.0, 26504.0, 26511.0, 26585.0, 27143.0, 27295.0, 27341.0, 28952.0, 29028.0, 29116.0, 29894.0, 29899.0, 29925.0, 29990.0, 30849.0, 50628.0, 50839.0, 50863.0, 51016.0, 51025.0, 51070.0, 51074.0, 51110.0, 51148.0, 51149.0, 51154.0, 51171.0, 51192.0, 51199.0, 51285.0, 51295.0, 51312.0, 51531.0, 51548.0, 51606.0, 51634.0, 51657.0, 51668.0, 51778.0, 53905.0, 53938.0, 54496.0, 54532.0, 54543.0, 54550.0, 54587.0, 54815.0, 54842.0, 54878.0, 54885.0, 54903.0, 54941.0, 54998.0, 55007.0, 55051.0, 55055.0, 55076.0, 55110.0, 55124.0, 55127.0, 55138.0, 55149.0, 55191.0, 55208.0, 55210.0, 55222.0, 55224.0, 55244.0, 55251.0, 55280.0, 55315.0, 55325.0, 55340.0, 55471.0, 55502.0, 55503.0, 55515.0, 55558.0, 55607.0, 55622.0, 55636.0, 55690.0, 55715.0, 55753.0, 55759.0, 55764.0, 55781.0, 55805.0, 55812.0, 55835.0, 55848.0, 55857.0, 56155.0, 56181.0, 56246.0, 56302.0, 56672.0, 56704.0, 56893.0, 56922.0, 56931.0, 56978.0, 57007.0, 57110.0, 57128.0, 57176.0, 57407.0, 57505.0, 57528.0, 57531.0, 57562.0, 57602.0, 57654.0, 57718.0, 57761.0, 57805.0, 57834.0, 58504.0, 59307.0, 60437.0, 60491.0, 63973.0, 63979.0, 64231.0, 64343.0, 64518.0, 64755.0, 64978.0, 65082.0, 65109.0, 65251.0, 79026.0, 79053.0, 79058.0, 79095.0, 79137.0, 79149.0, 79157.0, 79364.0, 79446.0, 79585.0, 79658.0, 79673.0, 79778.0, 79810.0, 79817.0, 79834.0, 79882.0, 79943.0, 80142.0, 80224.0, 80262.0, 80328.0, 80342.0, 80705.0, 80851.0, 83444.0, 83463.0, 83547.0, 83640.0, 83714.0, 83872.0, 83992.0, 84063.0, 84071.0, 84074.0, 84100.0, 84221.0, 84268.0, 84274.0, 84283.0, 84303.0, 84332.0, 84433.0, 84525.0, 84548.0, 84628.0, 84680.0, 84689.0, 84705.0, 84707.0, 84733.0, 84807.0, 84897.0, 84898.0, 84952.0, 84954.0, 84996.0, 85313.0, 85376.0, 85865.0, 89765.0, 89891.0, 89927.0, 90417.0, 90624.0, 91544.0, 91875.0, 92960.0, 93099.0, 93426.0, 93587.0, 93974.0, 94122.0, 112483.0, 113451.0, 113510.0, 114757.0, 114792.0, 115560.0, 115703.0, 116138.0, 116225.0, 116841.0, 116985.0, 116987.0, 117155.0, 117178.0, 119391.0, 124936.0, 126129.0, 126433.0, 129401.0, 130916.0, 131566.0, 131965.0, 132001.0, 134728.0, 136051.0, 140461.0, 144245.0, 144402.0, 144811.0, 145389.0, 146057.0, 146279.0, 146433.0, 146664.0, 146850.0, 147138.0, 147372.0, 148398.0, 151393.0, 152015.0, 152206.0, 157807.0, 158427.0, 167555.0, 168544.0, 169841.0, 169981.0, 195814.0, 197258.0, 199221.0, 201163.0, 201164.0, 201254.0, 201299.0, 201456.0, 201973.0, 219402.0, 220002.0, 253714.0, 253769.0, 254295.0, 283229.0, 283337.0, 283807.0, 284040.0, 284058.0, 284076.0, 284129.0, 284338.0, 285025.0, 285590.0, 285753.0, 286204.0, 286257.0, 286343.0, 339390.0, 340277.0, 342132.0, 342908.0, 345643.0, 348180.0, 374403.0, 375057.0, 375790.0, 388512.0, 400506.0, 401494.0, 401994.0, 403313.0, 404672.0, 408050.0, 440097.0, 440145.0, 440295.0, 493829.0, 613212.0, 653247.0, 653784.0, 768211.0, 100131997.0, 100507436.0, 102724023.0	1.8807550703473108	caudate	EA	1.1310084825636193
GO:0005737	CC	e	cytoplasm	226/1061	4681/29107	9.066710453402915e-06	2	226	0.007263211390841476	102.0, 107.0, 148.0, 321.0, 347.0, 353.0, 358.0, 367.0, 631.0, 760.0, 842.0, 949.0, 958.0, 1371.0, 1466.0, 1612.0, 1663.0, 1725.0, 1728.0, 1964.0, 2017.0, 2784.0, 2830.0, 2861.0, 3359.0, 3706.0, 3838.0, 3852.0, 3978.0, 4057.0, 4085.0, 4311.0, 4355.0, 4494.0, 4495.0, 4521.0, 4647.0, 4671.0, 4752.0, 4843.0, 5129.0, 5138.0, 5289.0, 5293.0, 5300.0, 5336.0, 5533.0, 5592.0, 5598.0, 5600.0, 5635.0, 5742.0, 5797.0, 5921.0, 5997.0, 5999.0, 6300.0, 6584.0, 6606.0, 6622.0, 6642.0, 6654.0, 6799.0, 7099.0, 7174.0, 7225.0, 7249.0, 7320.0, 7347.0, 7375.0, 7917.0, 8045.0, 8507.0, 8787.0, 8888.0, 8986.0, 8999.0, 9051.0, 9071.0, 9098.0, 9352.0, 9401.0, 9425.0, 9463.0, 9585.0, 9894.0, 10008.0, 10309.0, 10314.0, 10361.0, 10486.0, 10572.0, 10776.0, 10841.0, 11059.0, 11060.0, 22911.0, 22950.0, 23189.0, 23234.0, 23421.0, 23533.0, 23549.0, 23582.0, 23593.0, 23600.0, 23604.0, 23635.0, 25778.0, 25796.0, 25876.0, 25896.0, 25959.0, 25989.0, 26260.0, 26270.0, 26272.0, 27143.0, 27175.0, 27341.0, 29899.0, 29925.0, 50628.0, 50853.0, 51016.0, 51070.0, 51074.0, 51154.0, 51295.0, 51548.0, 54550.0, 54878.0, 54903.0, 55124.0, 55191.0, 55208.0, 55251.0, 55316.0, 55325.0, 55607.0, 55715.0, 55764.0, 55781.0, 55805.0, 55835.0, 55857.0, 56155.0, 56164.0, 56893.0, 57091.0, 57110.0, 57519.0, 57531.0, 57562.0, 57602.0, 57718.0, 57805.0, 60491.0, 63979.0, 64343.0, 65109.0, 65979.0, 79007.0, 79026.0, 79716.0, 79781.0, 79834.0, 79882.0, 80705.0, 80851.0, 83547.0, 83714.0, 84074.0, 84100.0, 84268.0, 84433.0, 84525.0, 84705.0, 84707.0, 85376.0, 89846.0, 89891.0, 90417.0, 90990.0, 91875.0, 112483.0, 113220.0, 113451.0, 115703.0, 116138.0, 116225.0, 116987.0, 117178.0, 121952.0, 126433.0, 134728.0, 134957.0, 143570.0, 146057.0, 147138.0, 151393.0, 152015.0, 166614.0, 168002.0, 170825.0, 199221.0, 201163.0, 201176.0, 222236.0, 255027.0, 282808.0, 283229.0, 285025.0, 285590.0, 285753.0, 286204.0, 359948.0, 389432.0, 404672.0, 414194.0, 493829.0, 727851.0, 729857.0, 100131187.0, 100463486.0, 100507436.0	2.1388713158083155	caudate	EA	0.42601319509896324
GO:0005759	CC	e	mitochondrial matrix	32/1061	381/29107	1.271382593072431e-05	5	32	0.007263211390841476	2110.0, 2647.0, 4521.0, 4704.0, 4722.0, 5096.0, 5138.0, 6622.0, 7019.0, 7263.0, 7923.0, 9997.0, 10131.0, 26995.0, 27349.0, 51025.0, 51110.0, 51657.0, 55471.0, 55753.0, 56922.0, 57128.0, 57805.0, 60528.0, 79731.0, 80224.0, 84274.0, 90624.0, 124454.0, 130916.0, 201973.0, 728294.0	2.1388713158083155	caudate	EA	0.060320452403393024
GO:0005829	CC	e	cytosol	248/1061	5294/29107	1.657321481081911e-05	2	248	0.007263211390841476	91.0, 100.0, 148.0, 157.0, 191.0, 353.0, 367.0, 613.0, 648.0, 745.0, 760.0, 842.0, 1124.0, 1371.0, 1495.0, 1540.0, 1725.0, 1728.0, 1828.0, 1964.0, 2009.0, 2017.0, 2021.0, 2444.0, 2647.0, 2671.0, 2784.0, 3040.0, 3073.0, 3356.0, 3635.0, 3706.0, 3838.0, 3852.0, 3899.0, 4085.0, 4174.0, 4296.0, 4521.0, 4647.0, 4683.0, 4703.0, 4804.0, 4843.0, 5096.0, 5137.0, 5138.0, 5224.0, 5289.0, 5293.0, 5300.0, 5324.0, 5336.0, 5366.0, 5435.0, 5521.0, 5533.0, 5592.0, 5598.0, 5600.0, 5702.0, 5921.0, 5973.0, 5997.0, 5999.0, 6134.0, 6208.0, 6234.0, 6300.0, 6584.0, 6606.0, 6622.0, 6642.0, 6652.0, 6654.0, 6769.0, 6799.0, 7019.0, 7062.0, 7138.0, 7174.0, 7186.0, 7249.0, 7347.0, 7375.0, 7439.0, 7881.0, 7917.0, 8029.0, 8086.0, 8165.0, 8242.0, 8293.0, 8437.0, 8888.0, 8986.0, 9025.0, 9051.0, 9296.0, 9352.0, 9410.0, 9463.0, 9559.0, 9585.0, 9701.0, 9811.0, 9894.0, 9924.0, 10010.0, 10109.0, 10235.0, 10466.0, 10495.0, 10841.0, 10901.0, 11059.0, 11060.0, 22844.0, 22977.0, 23047.0, 23093.0, 23113.0, 23194.0, 23220.0, 23234.0, 23263.0, 23421.0, 23533.0, 23549.0, 23583.0, 23600.0, 23601.0, 23743.0, 23770.0, 25791.0, 25796.0, 25839.0, 26270.0, 26272.0, 26273.0, 27143.0, 27175.0, 27295.0, 28952.0, 29116.0, 29899.0, 29952.0, 29954.0, 30849.0, 50628.0, 51070.0, 51074.0, 51084.0, 51171.0, 51295.0, 51606.0, 54014.0, 54496.0, 54859.0, 54878.0, 54885.0, 54903.0, 55055.0, 55191.0, 55224.0, 55607.0, 55690.0, 55715.0, 55744.0, 55781.0, 55812.0, 55835.0, 56893.0, 56922.0, 56985.0, 57110.0, 57176.0, 57407.0, 57602.0, 57718.0, 57761.0, 58504.0, 60528.0, 64359.0, 64772.0, 65109.0, 79026.0, 79058.0, 79585.0, 79658.0, 79731.0, 79778.0, 80142.0, 80336.0, 83547.0, 84303.0, 84433.0, 84735.0, 85313.0, 85415.0, 89765.0, 89846.0, 89891.0, 90861.0, 91544.0, 93426.0, 93587.0, 113451.0, 114757.0, 115703.0, 116138.0, 116985.0, 118460.0, 119391.0, 121952.0, 122970.0, 123745.0, 126433.0, 129401.0, 130916.0, 134957.0, 140461.0, 146057.0, 146850.0, 151393.0, 152206.0, 161823.0, 169981.0, 197258.0, 200035.0, 201163.0, 201176.0, 201299.0, 201456.0, 203074.0, 253714.0, 255189.0, 283748.0, 283807.0, 284076.0, 348180.0, 374403.0, 401036.0, 440145.0, 653784.0, 729359.0, 100131187.0, 100885848.0	2.1388713158083155	caudate	EA	0.46748350612629597
GO:0005524	MF	e	ATP binding	85/1061	1458/29107	2.075916735076685e-05	8	85	0.02774630692745728	91.0, 107.0, 114.0, 157.0, 368.0, 613.0, 1159.0, 1183.0, 1612.0, 1663.0, 2038.0, 2046.0, 2065.0, 2261.0, 2444.0, 3706.0, 3758.0, 3978.0, 4174.0, 4296.0, 4436.0, 4647.0, 4671.0, 4752.0, 5023.0, 5096.0, 5129.0, 5289.0, 5293.0, 5592.0, 5598.0, 5600.0, 5702.0, 5973.0, 6300.0, 6584.0, 7320.0, 8449.0, 8632.0, 8986.0, 8999.0, 9401.0, 9585.0, 10060.0, 10131.0, 10347.0, 10351.0, 23020.0, 23093.0, 23113.0, 23460.0, 23604.0, 25778.0, 25989.0, 29028.0, 30849.0, 55149.0, 55191.0, 55210.0, 55224.0, 55636.0, 55781.0, 56155.0, 56164.0, 56922.0, 57176.0, 57505.0, 57519.0, 57761.0, 63979.0, 79731.0, 79781.0, 80224.0, 84284.0, 90990.0, 91646.0, 113220.0, 113510.0, 124454.0, 146057.0, 166614.0, 197258.0, 219293.0, 284076.0, 653857.0	1.5567948139020706	caudate	EA	0.16022620169651272
GO:0005096	MF	e	GTPase activator activity	24/1061	256/29107	2.510978002484822e-05	5	24	0.02774630692745728	613.0, 1124.0, 5921.0, 5997.0, 5999.0, 6654.0, 7249.0, 8437.0, 8787.0, 9098.0, 54885.0, 58504.0, 79658.0, 115703.0, 116983.0, 116985.0, 116987.0, 134957.0, 201163.0, 201176.0, 374403.0, 727851.0, 729857.0, 729873.0	1.5567948139020706	caudate	EA	0.04524033930254477
