Module_1	Module_2	Semantic_Similarity	Ont	Tissue
lightcyan	black	1	MF	Dentate Gyrus
lightcyan	green	0.482	MF	Dentate Gyrus
lightcyan	plum1		MF	Dentate Gyrus
lightcyan	tan	0.451	MF	Dentate Gyrus
lightcyan	white	1	MF	Dentate Gyrus
lightcyan	red	0.48	MF	Dentate Gyrus
lightcyan	purple	0.472	MF	Dentate Gyrus
lightcyan	skyblue		MF	Dentate Gyrus
lightcyan	lightyellow	1	MF	Dentate Gyrus
lightcyan	midnightblue	0.409	MF	Dentate Gyrus
lightcyan	paleturquoise	0.397	MF	Dentate Gyrus
lightcyan	cyan	0.396	MF	Dentate Gyrus
lightcyan	orange		MF	Dentate Gyrus
lightcyan	lightgreen	0.406	MF	Dentate Gyrus
lightcyan	darkred	1	MF	Dentate Gyrus
lightcyan	darkmagenta	0.488	MF	Dentate Gyrus
lightcyan	yellowgreen	0.407	MF	Dentate Gyrus
lightcyan	sienna3		MF	Dentate Gyrus
turquoise	greenyellow	0.456	MF	Dentate Gyrus
turquoise	brown	0.656	MF	Dentate Gyrus
turquoise	grey	0.524	MF	Dentate Gyrus
turquoise	blue	0.624	MF	Dentate Gyrus
turquoise	darkgreen	0.364	MF	Dentate Gyrus
turquoise	lightcyan	0.52	MF	Dentate Gyrus
turquoise	pink	0.442	MF	Dentate Gyrus
turquoise	violet		MF	Dentate Gyrus
turquoise	magenta	0.599	MF	Dentate Gyrus
turquoise	salmon	1	MF	Dentate Gyrus
turquoise	royalblue	0.435	MF	Dentate Gyrus
turquoise	darkorange	1	MF	Dentate Gyrus
turquoise	saddlebrown		MF	Dentate Gyrus
turquoise	darkturquoise		MF	Dentate Gyrus
turquoise	yellow	0.442	MF	Dentate Gyrus
turquoise	darkgrey	1	MF	Dentate Gyrus
turquoise	black	1	MF	Dentate Gyrus
turquoise	green	0.621	MF	Dentate Gyrus
turquoise	plum1		MF	Dentate Gyrus
turquoise	tan	0.491	MF	Dentate Gyrus
turquoise	white	1	MF	Dentate Gyrus
turquoise	red	0.544	MF	Dentate Gyrus
turquoise	purple	0.548	MF	Dentate Gyrus
turquoise	skyblue		MF	Dentate Gyrus
turquoise	lightyellow	1	MF	Dentate Gyrus
turquoise	midnightblue	0.395	MF	Dentate Gyrus
turquoise	paleturquoise	0.401	MF	Dentate Gyrus
turquoise	cyan	0.557	MF	Dentate Gyrus
turquoise	orange		MF	Dentate Gyrus
turquoise	lightgreen	0.423	MF	Dentate Gyrus
turquoise	darkred	1	MF	Dentate Gyrus
turquoise	darkmagenta	0.512	MF	Dentate Gyrus
turquoise	yellowgreen	0.397	MF	Dentate Gyrus
turquoise	sienna3		MF	Dentate Gyrus
pink	greenyellow	0.894	MF	Dentate Gyrus
pink	brown	0.396	MF	Dentate Gyrus
pink	grey	0.561	MF	Dentate Gyrus
pink	blue	0.574	MF	Dentate Gyrus
pink	darkgreen	0.398	MF	Dentate Gyrus
pink	lightcyan	0.41	MF	Dentate Gyrus
pink	turquoise	0.442	MF	Dentate Gyrus
pink	violet		MF	Dentate Gyrus
pink	magenta	0.556	MF	Dentate Gyrus
pink	salmon	1	MF	Dentate Gyrus
pink	royalblue	0.339	MF	Dentate Gyrus
pink	darkorange	1	MF	Dentate Gyrus
pink	saddlebrown		MF	Dentate Gyrus
pink	darkturquoise		MF	Dentate Gyrus
pink	yellow	1	MF	Dentate Gyrus
pink	darkgrey	1	MF	Dentate Gyrus
pink	black	1	MF	Dentate Gyrus
pink	green	0.367	MF	Dentate Gyrus
pink	plum1		MF	Dentate Gyrus
pink	tan	0.503	MF	Dentate Gyrus
pink	white	1	MF	Dentate Gyrus
pink	red	0.466	MF	Dentate Gyrus
pink	purple	0.579	MF	Dentate Gyrus
pink	skyblue		MF	Dentate Gyrus
pink	lightyellow	1	MF	Dentate Gyrus
pink	midnightblue	0.671	MF	Dentate Gyrus
pink	paleturquoise	0.443	MF	Dentate Gyrus
pink	cyan	0.627	MF	Dentate Gyrus
pink	orange		MF	Dentate Gyrus
pink	lightgreen	0.543	MF	Dentate Gyrus
pink	darkred	1	MF	Dentate Gyrus
pink	darkmagenta	0.535	MF	Dentate Gyrus
pink	yellowgreen	0.466	MF	Dentate Gyrus
pink	sienna3		MF	Dentate Gyrus
violet	greenyellow		MF	Dentate Gyrus
violet	brown		MF	Dentate Gyrus
violet	grey		MF	Dentate Gyrus
violet	blue		MF	Dentate Gyrus
violet	darkgreen		MF	Dentate Gyrus
violet	lightcyan		MF	Dentate Gyrus
violet	turquoise		MF	Dentate Gyrus
violet	pink		MF	Dentate Gyrus
violet	magenta		MF	Dentate Gyrus
violet	salmon		MF	Dentate Gyrus
violet	royalblue		MF	Dentate Gyrus
violet	darkorange		MF	Dentate Gyrus
violet	saddlebrown		MF	Dentate Gyrus
violet	darkturquoise		MF	Dentate Gyrus
violet	yellow		MF	Dentate Gyrus
violet	darkgrey		MF	Dentate Gyrus
violet	black		MF	Dentate Gyrus
violet	green		MF	Dentate Gyrus
violet	plum1		MF	Dentate Gyrus
violet	tan		MF	Dentate Gyrus
violet	white		MF	Dentate Gyrus
violet	red		MF	Dentate Gyrus
violet	purple		MF	Dentate Gyrus
violet	skyblue		MF	Dentate Gyrus
violet	lightyellow		MF	Dentate Gyrus
violet	midnightblue		MF	Dentate Gyrus
violet	paleturquoise		MF	Dentate Gyrus
violet	cyan		MF	Dentate Gyrus
violet	orange		MF	Dentate Gyrus
violet	lightgreen		MF	Dentate Gyrus
violet	darkred		MF	Dentate Gyrus
violet	darkmagenta		MF	Dentate Gyrus
violet	yellowgreen		MF	Dentate Gyrus
violet	sienna3		MF	Dentate Gyrus
magenta	greenyellow	0.568	MF	Dentate Gyrus
magenta	brown	0.5	MF	Dentate Gyrus
magenta	grey	0.513	MF	Dentate Gyrus
magenta	blue	0.675	MF	Dentate Gyrus
magenta	darkgreen	0.462	MF	Dentate Gyrus
magenta	lightcyan	0.486	MF	Dentate Gyrus
magenta	turquoise	0.599	MF	Dentate Gyrus
magenta	pink	0.556	MF	Dentate Gyrus
magenta	violet		MF	Dentate Gyrus
magenta	salmon	1	MF	Dentate Gyrus
magenta	royalblue	0.483	MF	Dentate Gyrus
magenta	darkorange	1	MF	Dentate Gyrus
magenta	saddlebrown		MF	Dentate Gyrus
magenta	darkturquoise		MF	Dentate Gyrus
magenta	yellow	0.556	MF	Dentate Gyrus
magenta	darkgrey	1	MF	Dentate Gyrus
magenta	black	1	MF	Dentate Gyrus
magenta	green	0.463	MF	Dentate Gyrus
magenta	plum1		MF	Dentate Gyrus
magenta	tan	0.566	MF	Dentate Gyrus
magenta	white	1	MF	Dentate Gyrus
magenta	red	0.542	MF	Dentate Gyrus
magenta	purple	0.544	MF	Dentate Gyrus
magenta	skyblue		MF	Dentate Gyrus
magenta	lightyellow	1	MF	Dentate Gyrus
magenta	midnightblue	0.504	MF	Dentate Gyrus
magenta	paleturquoise	0.501	MF	Dentate Gyrus
magenta	cyan	0.555	MF	Dentate Gyrus
magenta	orange		MF	Dentate Gyrus
magenta	lightgreen	0.484	MF	Dentate Gyrus
magenta	darkred	1	MF	Dentate Gyrus
magenta	darkmagenta	0.592	MF	Dentate Gyrus
magenta	yellowgreen	0.474	MF	Dentate Gyrus
magenta	sienna3		MF	Dentate Gyrus
salmon	greenyellow	1	MF	Dentate Gyrus
salmon	brown	1	MF	Dentate Gyrus
salmon	grey	1	MF	Dentate Gyrus
salmon	blue	1	MF	Dentate Gyrus
salmon	darkgreen	1	MF	Dentate Gyrus
salmon	lightcyan	1	MF	Dentate Gyrus
salmon	turquoise	1	MF	Dentate Gyrus
salmon	pink	1	MF	Dentate Gyrus
salmon	violet		MF	Dentate Gyrus
salmon	magenta	1	MF	Dentate Gyrus
salmon	royalblue	1	MF	Dentate Gyrus
salmon	darkorange	1	MF	Dentate Gyrus
salmon	saddlebrown		MF	Dentate Gyrus
salmon	darkturquoise		MF	Dentate Gyrus
salmon	yellow	1	MF	Dentate Gyrus
salmon	darkgrey	1	MF	Dentate Gyrus
salmon	black	1	MF	Dentate Gyrus
salmon	green	1	MF	Dentate Gyrus
salmon	plum1		MF	Dentate Gyrus
salmon	tan	1	MF	Dentate Gyrus
salmon	white	1	MF	Dentate Gyrus
salmon	red	1	MF	Dentate Gyrus
salmon	purple	1	MF	Dentate Gyrus
salmon	skyblue		MF	Dentate Gyrus
salmon	lightyellow	1	MF	Dentate Gyrus
salmon	midnightblue	1	MF	Dentate Gyrus
salmon	paleturquoise	1	MF	Dentate Gyrus
salmon	cyan	1	MF	Dentate Gyrus
salmon	orange		MF	Dentate Gyrus
salmon	lightgreen	1	MF	Dentate Gyrus
salmon	darkred	1	MF	Dentate Gyrus
salmon	darkmagenta	1	MF	Dentate Gyrus
salmon	yellowgreen	1	MF	Dentate Gyrus
salmon	sienna3		MF	Dentate Gyrus
royalblue	greenyellow	0.388	MF	Dentate Gyrus
royalblue	brown	0.466	MF	Dentate Gyrus
royalblue	grey	0.467	MF	Dentate Gyrus
royalblue	blue	0.585	MF	Dentate Gyrus
royalblue	darkgreen	0.326	MF	Dentate Gyrus
royalblue	lightcyan	0.412	MF	Dentate Gyrus
royalblue	turquoise	0.435	MF	Dentate Gyrus
royalblue	pink	0.339	MF	Dentate Gyrus
royalblue	violet		MF	Dentate Gyrus
royalblue	magenta	0.483	MF	Dentate Gyrus
royalblue	salmon	1	MF	Dentate Gyrus
royalblue	darkorange	1	MF	Dentate Gyrus
royalblue	saddlebrown		MF	Dentate Gyrus
royalblue	darkturquoise		MF	Dentate Gyrus
royalblue	yellow	0.339	MF	Dentate Gyrus
royalblue	darkgrey	1	MF	Dentate Gyrus
royalblue	black	1	MF	Dentate Gyrus
royalblue	green	0.514	MF	Dentate Gyrus
royalblue	plum1		MF	Dentate Gyrus
royalblue	tan	0.66	MF	Dentate Gyrus
royalblue	white	1	MF	Dentate Gyrus
royalblue	red	0.535	MF	Dentate Gyrus
royalblue	purple	0.316	MF	Dentate Gyrus
royalblue	skyblue		MF	Dentate Gyrus
royalblue	lightyellow	1	MF	Dentate Gyrus
royalblue	midnightblue	0.428	MF	Dentate Gyrus
royalblue	paleturquoise	0.46	MF	Dentate Gyrus
royalblue	cyan	0.475	MF	Dentate Gyrus
royalblue	orange		MF	Dentate Gyrus
royalblue	lightgreen	0.47	MF	Dentate Gyrus
royalblue	darkred	1	MF	Dentate Gyrus
royalblue	darkmagenta	0.582	MF	Dentate Gyrus
royalblue	yellowgreen	0.406	MF	Dentate Gyrus
royalblue	sienna3		MF	Dentate Gyrus
darkorange	greenyellow	1	MF	Dentate Gyrus
darkorange	brown	1	MF	Dentate Gyrus
darkorange	grey	1	MF	Dentate Gyrus
darkorange	blue	1	MF	Dentate Gyrus
darkorange	darkgreen	1	MF	Dentate Gyrus
darkorange	lightcyan	1	MF	Dentate Gyrus
darkorange	turquoise	1	MF	Dentate Gyrus
darkorange	pink	1	MF	Dentate Gyrus
darkorange	violet		MF	Dentate Gyrus
darkorange	magenta	1	MF	Dentate Gyrus
darkorange	salmon	1	MF	Dentate Gyrus
darkorange	royalblue	1	MF	Dentate Gyrus
darkorange	saddlebrown		MF	Dentate Gyrus
darkorange	darkturquoise		MF	Dentate Gyrus
darkorange	yellow	1	MF	Dentate Gyrus
darkorange	darkgrey	1	MF	Dentate Gyrus
darkorange	black	1	MF	Dentate Gyrus
darkorange	green	1	MF	Dentate Gyrus
darkorange	plum1		MF	Dentate Gyrus
darkorange	tan	1	MF	Dentate Gyrus
darkorange	white	1	MF	Dentate Gyrus
darkorange	red	1	MF	Dentate Gyrus
darkorange	purple	1	MF	Dentate Gyrus
darkorange	skyblue		MF	Dentate Gyrus
darkorange	lightyellow	1	MF	Dentate Gyrus
darkorange	midnightblue	1	MF	Dentate Gyrus
darkorange	paleturquoise	1	MF	Dentate Gyrus
darkorange	cyan	1	MF	Dentate Gyrus
darkorange	orange		MF	Dentate Gyrus
darkorange	lightgreen	1	MF	Dentate Gyrus
darkorange	darkred	1	MF	Dentate Gyrus
darkorange	darkmagenta	1	MF	Dentate Gyrus
darkorange	yellowgreen	1	MF	Dentate Gyrus
darkorange	sienna3		MF	Dentate Gyrus
saddlebrown	greenyellow		MF	Dentate Gyrus
saddlebrown	brown		MF	Dentate Gyrus
saddlebrown	grey		MF	Dentate Gyrus
saddlebrown	blue		MF	Dentate Gyrus
saddlebrown	darkgreen		MF	Dentate Gyrus
saddlebrown	lightcyan		MF	Dentate Gyrus
saddlebrown	turquoise		MF	Dentate Gyrus
saddlebrown	pink		MF	Dentate Gyrus
saddlebrown	violet		MF	Dentate Gyrus
saddlebrown	magenta		MF	Dentate Gyrus
saddlebrown	salmon		MF	Dentate Gyrus
saddlebrown	royalblue		MF	Dentate Gyrus
saddlebrown	darkorange		MF	Dentate Gyrus
saddlebrown	darkturquoise		MF	Dentate Gyrus
saddlebrown	yellow		MF	Dentate Gyrus
saddlebrown	darkgrey		MF	Dentate Gyrus
saddlebrown	black		MF	Dentate Gyrus
saddlebrown	green		MF	Dentate Gyrus
saddlebrown	plum1		MF	Dentate Gyrus
saddlebrown	tan		MF	Dentate Gyrus
saddlebrown	white		MF	Dentate Gyrus
saddlebrown	red		MF	Dentate Gyrus
saddlebrown	purple		MF	Dentate Gyrus
saddlebrown	skyblue		MF	Dentate Gyrus
saddlebrown	lightyellow		MF	Dentate Gyrus
saddlebrown	midnightblue		MF	Dentate Gyrus
saddlebrown	paleturquoise		MF	Dentate Gyrus
saddlebrown	cyan		MF	Dentate Gyrus
saddlebrown	orange		MF	Dentate Gyrus
saddlebrown	lightgreen		MF	Dentate Gyrus
saddlebrown	darkred		MF	Dentate Gyrus
saddlebrown	darkmagenta		MF	Dentate Gyrus
saddlebrown	yellowgreen		MF	Dentate Gyrus
saddlebrown	sienna3		MF	Dentate Gyrus
darkturquoise	greenyellow		MF	Dentate Gyrus
darkturquoise	brown		MF	Dentate Gyrus
darkturquoise	grey		MF	Dentate Gyrus
darkturquoise	blue		MF	Dentate Gyrus
darkturquoise	darkgreen		MF	Dentate Gyrus
darkturquoise	lightcyan		MF	Dentate Gyrus
darkturquoise	turquoise		MF	Dentate Gyrus
darkturquoise	pink		MF	Dentate Gyrus
darkturquoise	violet		MF	Dentate Gyrus
darkturquoise	magenta		MF	Dentate Gyrus
darkturquoise	salmon		MF	Dentate Gyrus
darkturquoise	royalblue		MF	Dentate Gyrus
darkturquoise	darkorange		MF	Dentate Gyrus
darkturquoise	saddlebrown		MF	Dentate Gyrus
darkturquoise	yellow		MF	Dentate Gyrus
darkturquoise	darkgrey		MF	Dentate Gyrus
darkturquoise	black		MF	Dentate Gyrus
darkturquoise	green		MF	Dentate Gyrus
darkturquoise	plum1		MF	Dentate Gyrus
darkturquoise	tan		MF	Dentate Gyrus
darkturquoise	white		MF	Dentate Gyrus
darkturquoise	red		MF	Dentate Gyrus
darkturquoise	purple		MF	Dentate Gyrus
darkturquoise	skyblue		MF	Dentate Gyrus
darkturquoise	lightyellow		MF	Dentate Gyrus
darkturquoise	midnightblue		MF	Dentate Gyrus
darkturquoise	paleturquoise		MF	Dentate Gyrus
darkturquoise	cyan		MF	Dentate Gyrus
darkturquoise	orange		MF	Dentate Gyrus
darkturquoise	lightgreen		MF	Dentate Gyrus
darkturquoise	darkred		MF	Dentate Gyrus
darkturquoise	darkmagenta		MF	Dentate Gyrus
darkturquoise	yellowgreen		MF	Dentate Gyrus
darkturquoise	sienna3		MF	Dentate Gyrus
yellow	greenyellow	0.894	MF	Dentate Gyrus
yellow	brown	0.396	MF	Dentate Gyrus
yellow	grey	0.561	MF	Dentate Gyrus
yellow	blue	0.574	MF	Dentate Gyrus
yellow	darkgreen	0.398	MF	Dentate Gyrus
yellow	lightcyan	0.41	MF	Dentate Gyrus
yellow	turquoise	0.442	MF	Dentate Gyrus
yellow	pink	1	MF	Dentate Gyrus
yellow	violet		MF	Dentate Gyrus
yellow	magenta	0.556	MF	Dentate Gyrus
yellow	salmon	1	MF	Dentate Gyrus
yellow	royalblue	0.339	MF	Dentate Gyrus
yellow	darkorange	1	MF	Dentate Gyrus
yellow	saddlebrown		MF	Dentate Gyrus
yellow	darkturquoise		MF	Dentate Gyrus
yellow	darkgrey	1	MF	Dentate Gyrus
yellow	black	1	MF	Dentate Gyrus
yellow	green	0.367	MF	Dentate Gyrus
yellow	plum1		MF	Dentate Gyrus
yellow	tan	0.503	MF	Dentate Gyrus
yellow	white	1	MF	Dentate Gyrus
yellow	red	0.466	MF	Dentate Gyrus
yellow	purple	0.579	MF	Dentate Gyrus
yellow	skyblue		MF	Dentate Gyrus
yellow	lightyellow	1	MF	Dentate Gyrus
yellow	midnightblue	0.671	MF	Dentate Gyrus
yellow	paleturquoise	0.443	MF	Dentate Gyrus
yellow	cyan	0.627	MF	Dentate Gyrus
yellow	orange		MF	Dentate Gyrus
yellow	lightgreen	0.543	MF	Dentate Gyrus
yellow	darkred	1	MF	Dentate Gyrus
yellow	darkmagenta	0.535	MF	Dentate Gyrus
yellow	yellowgreen	0.466	MF	Dentate Gyrus
yellow	sienna3		MF	Dentate Gyrus
darkgrey	greenyellow	1	MF	Dentate Gyrus
darkgrey	brown	1	MF	Dentate Gyrus
darkgrey	grey	1	MF	Dentate Gyrus
darkgrey	blue	1	MF	Dentate Gyrus
darkgrey	darkgreen	1	MF	Dentate Gyrus
darkgrey	lightcyan	1	MF	Dentate Gyrus
darkgrey	turquoise	1	MF	Dentate Gyrus
darkgrey	pink	1	MF	Dentate Gyrus
darkgrey	violet		MF	Dentate Gyrus
darkgrey	magenta	1	MF	Dentate Gyrus
darkgrey	salmon	1	MF	Dentate Gyrus
darkgrey	royalblue	1	MF	Dentate Gyrus
darkgrey	darkorange	1	MF	Dentate Gyrus
darkgrey	saddlebrown		MF	Dentate Gyrus
darkgrey	darkturquoise		MF	Dentate Gyrus
darkgrey	yellow	1	MF	Dentate Gyrus
darkgrey	black	1	MF	Dentate Gyrus
darkgrey	green	1	MF	Dentate Gyrus
darkgrey	plum1		MF	Dentate Gyrus
darkgrey	tan	1	MF	Dentate Gyrus
darkgrey	white	1	MF	Dentate Gyrus
darkgrey	red	1	MF	Dentate Gyrus
darkgrey	purple	1	MF	Dentate Gyrus
darkgrey	skyblue		MF	Dentate Gyrus
darkgrey	lightyellow	1	MF	Dentate Gyrus
darkgrey	midnightblue	1	MF	Dentate Gyrus
darkgrey	paleturquoise	1	MF	Dentate Gyrus
darkgrey	cyan	1	MF	Dentate Gyrus
darkgrey	orange		MF	Dentate Gyrus
darkgrey	lightgreen	1	MF	Dentate Gyrus
