go	cluster	parent	score	size	term	parentTerm	termUniqueness	termUniquenessWithinCluster	termDispensability	Ont	Tissue
GO:0042116	10	GO:0002274	1.37259054176067	20	macrophage activation	myeloid leukocyte activation	0.758453488372093	0.3742	0.932	BP	Caudate
GO:0004888	1	GO:0004888	2.69520205567029	155	transmembrane signaling receptor activity	transmembrane signaling receptor activity	0.908176470588235	0.479666666666667	0	MF	Caudate
GO:0019838	3	GO:0019838	1.91403239204887	37	growth factor binding	growth factor binding	0.971764705882353	1	0	MF	Caudate
GO:0023023	2	GO:0023023	1.91403239204887	0	MHC protein complex binding	MHC protein complex binding	0.929411764705882	0.5085	0	MF	Caudate
GO:0023026	2	GO:0023023	1.75775533427277	33	MHC class II protein complex binding	MHC protein complex binding	0.929647058823529	0.5085	0.983	MF	Caudate
GO:0042605	4	GO:0042605	1.69686398208064	50	peptide antigen binding	peptide antigen binding	0.932882352941176	0.5375	0	MF	Caudate
GO:0043394	5	GO:0043394	1.66256896770515	15	proteoglycan binding	proteoglycan binding	0.947588235294118	0.759	0	MF	Caudate
GO:0008201	5	GO:0043394	1.66256896770515	178	heparin binding	proteoglycan binding	0.957764705882353	0.759	0.482	MF	Caudate
GO:1901618	6	GO:1901618	1.66256896770515	0	organic hydroxy compound transmembrane transporter activity	organic hydroxy compound transmembrane transporter activity	0.919470588235294	0.65775	0	MF	Caudate
GO:0140375	1	GO:0004888	1.66256896770515	1	immune receptor activity	transmembrane signaling receptor activity	0.922823529411765	0.562666666666667	0.68	MF	Caudate
GO:0004930	1	GO:0004888	1.58316149481899	685	G protein-coupled receptor activity	transmembrane signaling receptor activity	0.911	0.495666666666667	0.881	MF	Caudate
GO:0008525	6	GO:1901618	1.57450632875045	10	phosphatidylcholine transporter activity	organic hydroxy compound transmembrane transporter activity	0.925647058823529	0.684	0.397	MF	Caudate
GO:0008514	6	GO:1901618	1.57450632875045	29	organic anion transmembrane transporter activity	organic hydroxy compound transmembrane transporter activity	0.893705882352941	0.54825	0.524	MF	Caudate
GO:0003823	4	GO:0042605	1.57450632875045	67	antigen binding	peptide antigen binding	0.931941176470588	0.5375	0.925	MF	Caudate
GO:0043236	7	GO:0043236	1.57450632875045	25	laminin binding	laminin binding	0.919941176470588	0.5225	0	MF	Caudate
GO:0001848	8	GO:0001848	1.40603866661418	6	complement binding	complement binding	0.974529411764706	1	0	MF	Caudate
GO:0008028	6	GO:1901618	1.40603866661418	21	monocarboxylic acid transmembrane transporter activity	organic hydroxy compound transmembrane transporter activity	0.901882352941177	0.583	0.448	MF	Caudate
GO:0050840	7	GO:0043236	1.40534970601712	30	extracellular matrix binding	laminin binding	0.930764705882353	0.5225	0.955	MF	Caudate
GO:0042611	1	GO:0042611	3.05982624817529	0	MHC protein complex	MHC protein complex	0.8591875	1	0	CC	Caudate
GO:0031012	2	GO:0031012	2.25397578519556	240	extracellular matrix	extracellular matrix	0.765375	0.30925	0	CC	Caudate
GO:0030312	2	GO:0031012	2.25397578519556	0	external encapsulating structure	extracellular matrix	0.765375	0.30925	0.991	CC	Caudate
GO:0009897	3	GO:0009897	2.19305882810021	454	external side of plasma membrane	external side of plasma membrane	0.7488125	0.526	0	CC	Caudate
GO:0031514	4	GO:0031514	2.09222020218184	115	motile cilium	motile cilium	0.9075625	0.536	0	CC	Caudate
GO:0009986	5	GO:0009986	1.92020309187705	722	cell surface	cell surface	0.944125	1	0	CC	Caudate
GO:0016324	6	GO:0016324	1.91037875617473	426	apical plasma membrane	apical plasma membrane	0.7900625	0.511	0	CC	Caudate
GO:0062023	2	GO:0031012	1.91037875617473	480	collagen-containing extracellular matrix	extracellular matrix	0.76725	0.309	0.956	CC	Caudate
GO:0045177	6	GO:0016324	1.75076665651422	75	apical part of cell	apical plasma membrane	0.938875	0.511	0.978	CC	Caudate
GO:0097014	4	GO:0031514	1.75076665651422	1	ciliary plasm	motile cilium	0.886875	0.435666666666667	0.696	CC	Caudate
GO:0005930	4	GO:0031514	1.75076665651422	151	axoneme	motile cilium	0.886875	0.435666666666667	0.696	CC	Caudate
GO:0098552	3	GO:0009897	1.55808150421297	0	side of membrane	external side of plasma membrane	0.9041875	0.526	0.948	CC	Caudate
GO:0030666	7	GO:0030666	1.47163009961567	71	endocytic vesicle membrane	endocytic vesicle membrane	0.9335625	1	0	CC	Caudate
GO:0005604	2	GO:0031012	1.45546290786789	93	basement membrane	extracellular matrix	0.792625	0.379	0.816	CC	Caudate
GO:0005581	9	GO:0005581	1.3531557051536	60	collagen trimer	collagen trimer	0.984625	1	0	CC	Caudate
GO:0072562	8	GO:0072562	1.3531557051536	141	blood microparticle	blood microparticle	1	1	0	CC	Caudate
GO:0006954	1	GO:0006954	4.75966570665551	419	inflammatory response	inflammatory response	0.883882352941176	0.38075	0	BP	Dentate Gyrus
GO:0045229	2	GO:0045229	3.77843407229542	0	external encapsulating structure organization	external encapsulating structure organization	0.952964705882353	0.47075	0	BP	Dentate Gyrus
GO:0043062	2	GO:0045229	3.77843407229542	1	extracellular structure organization	external encapsulating structure organization	0.952964705882353	0.47075	0.345	BP	Dentate Gyrus
GO:0030198	2	GO:0045229	3.77843407229542	161	extracellular matrix organization	external encapsulating structure organization	0.945294117647059	0.3075	0.997	BP	Dentate Gyrus
GO:0032102	5	GO:0032102	2.24077472493663	0	negative regulation of response to external stimulus	negative regulation of response to external stimulus	0.785894117647059	0.480555555555556	0	BP	Dentate Gyrus
GO:0051346	4	GO:0051346	2.24077472493663	9	negative regulation of hydrolase activity	negative regulation of hydrolase activity	0.915976470588235	0.325	0	BP	Dentate Gyrus
GO:1904064	3	GO:1904064	2.24077472493663	1	positive regulation of cation transmembrane transport	positive regulation of cation transmembrane transport	0.885176470588235	0.2648	0	BP	Dentate Gyrus
GO:0034767	3	GO:1904064	2.24077472493663	3	positive regulation of monoatomic ion transmembrane transport	positive regulation of cation transmembrane transport	0.884094117647059	0.2588	0.988	BP	Dentate Gyrus
GO:0032964	9	GO:0032964	2.23569165681784	10	collagen biosynthetic process	collagen biosynthetic process	0.978976470588235	1	0	BP	Dentate Gyrus
GO:0007631	6	GO:0007631	2.23569165681784	31	feeding behavior	feeding behavior	0.932764705882353	1	0	BP	Dentate Gyrus
GO:0003073	8	GO:0003073	2.23569165681784	12	regulation of systemic arterial blood pressure	regulation of systemic arterial blood pressure	0.837929411764706	0.314571428571429	0	BP	Dentate Gyrus
GO:0071774	7	GO:0071774	2.23569165681784	7	response to fibroblast growth factor	response to fibroblast growth factor	0.888658823529412	0.264714285714286	0	BP	Dentate Gyrus
GO:1903035	5	GO:0032102	2.20121093760009	0	negative regulation of response to wounding	negative regulation of response to external stimulus	0.800929411764706	0.475444444444444	0.603	BP	Dentate Gyrus
GO:0043278	11	GO:0043278	2.13698943239144	24	response to morphine	response to morphine	0.934282352941177	0.482	0	BP	Dentate Gyrus
GO:0014072	11	GO:0043278	2.13698943239144	0	response to isoquinoline alkaloid	response to morphine	0.934282352941177	0.482	1	BP	Dentate Gyrus
GO:0043270	3	GO:1904064	2.13698943239144	4	positive regulation of monoatomic ion transport	positive regulation of cation transmembrane transport	0.893317647058824	0.3036	0.966	BP	Dentate Gyrus
GO:0048514	10	GO:0048514	2.13698943239144	18	blood vessel morphogenesis	blood vessel morphogenesis	0.8766	0.285333333333333	0	BP	Dentate Gyrus
GO:0001944	10	GO:0048514	2.13698943239144	15	vasculature development	blood vessel morphogenesis	0.874952941176471	0.284666666666667	0.965	BP	Dentate Gyrus
GO:0040036	7	GO:0071774	2.13698943239144	6	regulation of fibroblast growth factor receptor signaling pathway	response to fibroblast growth factor	0.823105882352941	0.274	0.899	BP	Dentate Gyrus
GO:0034368	12	GO:0034368	2.13698943239144	0	protein-lipid complex remodeling	protein-lipid complex remodeling	0.936482352941176	0.2126	0	BP	Dentate Gyrus
GO:0034369	12	GO:0034368	2.13698943239144	1	plasma lipoprotein particle remodeling	protein-lipid complex remodeling	0.846011764705882	0.2116	1	BP	Dentate Gyrus
GO:0001819	14	GO:0001819	2.10976630764526	66	positive regulation of cytokine production	positive regulation of cytokine production	0.78504705882353	0.325166666666667	0	BP	Dentate Gyrus
GO:0001568	10	GO:0048514	2.10976630764526	41	blood vessel development	blood vessel morphogenesis	0.875388235294118	0.282833333333333	0.975	BP	Dentate Gyrus
GO:0044344	7	GO:0071774	2.10976630764526	29	cellular response to fibroblast growth factor stimulus	response to fibroblast growth factor	0.888623529411765	0.262571428571429	0.996	BP	Dentate Gyrus
GO:1900047	13	GO:1900047	2.10976630764526	1	negative regulation of hemostasis	negative regulation of hemostasis	0.863470588235294	0.2406	0	BP	Dentate Gyrus
GO:0030195	13	GO:1900047	2.10976630764526	17	negative regulation of blood coagulation	negative regulation of hemostasis	0.678105882352941	0.2406	0.999	BP	Dentate Gyrus
GO:0071363	7	GO:0071774	2.08360653257968	57	cellular response to growth factor stimulus	response to fibroblast growth factor	0.887094117647059	0.348428571428571	0.823	BP	Dentate Gyrus
GO:0050819	16	GO:0050819	2.06625735868041	6	negative regulation of coagulation	negative regulation of coagulation	0.839341176470588	0.5225	0	BP	Dentate Gyrus
GO:0045087	15	GO:0045087	2.06625735868041	527	innate immune response	innate immune response	0.850364705882353	0.457	0	BP	Dentate Gyrus
GO:0002832	15	GO:0045087	2.06625735868041	0	negative regulation of response to biotic stimulus	innate immune response	0.825752941176471	0.4445	0.641	BP	Dentate Gyrus
GO:0003044	8	GO:0003073	2.06625735868041	1	regulation of systemic arterial blood pressure mediated by a chemical signal	regulation of systemic arterial blood pressure	0.842870588235294	0.326	0.963	BP	Dentate Gyrus
GO:0010951	4	GO:0051346	1.97864979309767	61	negative regulation of endopeptidase activity	negative regulation of hydrolase activity	0.853964705882353	0.29125	0.935	BP	Dentate Gyrus
GO:0034367	12	GO:0034368	1.89472933346627	0	protein-containing complex remodeling	protein-lipid complex remodeling	0.946741176470588	0.3872	0.998	BP	Dentate Gyrus
GO:0034764	3	GO:1904064	1.89472933346627	0	positive regulation of transmembrane transport	positive regulation of cation transmembrane transport	0.885329411764706	0.303	0.969	BP	Dentate Gyrus
GO:0040037	7	GO:0071774	1.89472933346627	26	negative regulation of fibroblast growth factor receptor signaling pathway	response to fibroblast growth factor	0.803788235294118	0.291428571428571	0.872	BP	Dentate Gyrus
GO:0001501	17	GO:0001501	1.88165221459268	127	skeletal system development	skeletal system development	0.900058823529412	0.6205	0	BP	Dentate Gyrus
GO:0045824	15	GO:0045087	1.85202104773365	24	negative regulation of innate immune response	innate immune response	0.787835294117647	0.4225	0.754	BP	Dentate Gyrus
GO:0008543	7	GO:0071774	1.85202104773365	85	fibroblast growth factor receptor signaling pathway	response to fibroblast growth factor	0.853411764705882	0.261285714285714	0.976	BP	Dentate Gyrus
GO:0001816	14	GO:0001819	1.83968577063696	7	cytokine production	positive regulation of cytokine production	0.859070588235294	0.314333333333333	0.925	BP	Dentate Gyrus
GO:0001503	20	GO:0001503	1.83147825955105	73	ossification	ossification	0.924	1	0	BP	Dentate Gyrus
GO:0009612	19	GO:0009612	1.83147825955105	54	response to mechanical stimulus	response to mechanical stimulus	0.9024	1	0	BP	Dentate Gyrus
GO:0035914	18	GO:0035914	1.83147825955105	43	skeletal muscle cell differentiation	skeletal muscle cell differentiation	0.960058823529412	1	0	BP	Dentate Gyrus
GO:1903034	5	GO:0032102	1.83147825955105	1	regulation of response to wounding	negative regulation of response to external stimulus	0.815635294117647	0.525333333333333	0.428	BP	Dentate Gyrus
GO:0002029	5	GO:0032102	1.83147825955105	6	desensitization of G protein-coupled receptor signaling pathway	negative regulation of response to external stimulus	0.835741176470588	0.488	0.538	BP	Dentate Gyrus
GO:0022401	5	GO:0032102	1.83147825955105	1	negative adaptation of signaling pathway	negative regulation of response to external stimulus	0.835447058823529	0.487111111111111	0.54	BP	Dentate Gyrus
GO:1905063	10	GO:0048514	1.83147825955105	0	regulation of vascular associated smooth muscle cell differentiation	blood vessel morphogenesis	0.861541176470588	0.388166666666667	0.674	BP	Dentate Gyrus
GO:0008217	8	GO:0003073	1.83147825955105	73	regulation of blood pressure	regulation of systemic arterial blood pressure	0.832623529411765	0.313285714285714	0.951	BP	Dentate Gyrus
GO:0001525	10	GO:0048514	1.83147825955105	259	angiogenesis	blood vessel morphogenesis	0.878788235294118	0.2965	0.97	BP	Dentate Gyrus
GO:0010466	4	GO:0051346	1.83147825955105	76	negative regulation of peptidase activity	negative regulation of hydrolase activity	0.850529411764706	0.286	0.964	BP	Dentate Gyrus
GO:0061045	5	GO:0032102	1.70540592583155	19	negative regulation of wound healing	negative regulation of response to external stimulus	0.783917647058824	0.418111111111111	0.864	BP	Dentate Gyrus
GO:0023058	5	GO:0032102	1.69439943993515	0	adaptation of signaling pathway	negative regulation of response to external stimulus	0.857764705882353	0.540666666666667	0.367	BP	Dentate Gyrus
GO:0003012	8	GO:0003073	1.69439943993515	2	muscle system process	regulation of systemic arterial blood pressure	0.892717647058823	0.445857142857143	0.564	BP	Dentate Gyrus
GO:0031347	1	GO:0006954	1.69439943993515	0	regulation of defense response	inflammatory response	0.803364705882353	0.38275	0.74	BP	Dentate Gyrus
GO:0030212	22	GO:0030212	1.6551024268508	9	hyaluronan metabolic process	hyaluronan metabolic process	0.963117647058824	1	0	BP	Dentate Gyrus
GO:0002063	17	GO:0001501	1.6551024268508	17	chondrocyte development	skeletal system development	0.912635294117647	0.6205	0.759	BP	Dentate Gyrus
GO:0009617	15	GO:0045087	1.6551024268508	116	response to bacterium	innate immune response	0.882035294117647	0.501	0.777	BP	Dentate Gyrus
GO:0045737	21	GO:0045737	1.6551024268508	40	positive regulation of cyclin-dependent protein serine/threonine kinase activity	positive regulation of cyclin-dependent protein serine/threonine kinase activity	0.868470588235294	0.4416	0	BP	Dentate Gyrus
GO:0050729	1	GO:0006954	1.6551024268508	118	positive regulation of inflammatory response	inflammatory response	0.785211764705882	0.35975	0.827	BP	Dentate Gyrus
GO:0032731	14	GO:0001819	1.6551024268508	77	positive regulation of interleukin-1 beta production	positive regulation of cytokine production	0.816482352941176	0.312166666666667	0.775	BP	Dentate Gyrus
GO:0071827	12	GO:0034368	1.6551024268508	0	plasma lipoprotein particle organization	protein-lipid complex remodeling	0.878	0.3058	0.968	BP	Dentate Gyrus
GO:0001934	21	GO:0045737	1.65029701562431	219	positive regulation of protein phosphorylation	positive regulation of cyclin-dependent protein serine/threonine kinase activity	0.849552941176471	0.4318	0.74	BP	Dentate Gyrus
GO:0035886	10	GO:0048514	1.5549993446548	3	vascular associated smooth muscle cell differentiation	blood vessel morphogenesis	0.889305882352941	0.368166666666667	0.704	BP	Dentate Gyrus
GO:0032103	5	GO:0032102	1.51911397976211	0	positive regulation of response to external stimulus	negative regulation of response to external stimulus	0.779494117647059	0.546666666666667	0.82	BP	Dentate Gyrus
GO:0006936	8	GO:0003073	1.51865964152942	81	muscle contraction	regulation of systemic arterial blood pressure	0.895235294117647	0.456714285714286	0.55	BP	Dentate Gyrus
