Tissue	Group	OR	P-value	FDR	Direction	State	Response
Dentate Gyrus	MG6.early	1.8655049098291	0.03521826010219139	0.0689990402002117	All DEGs	MG6	early
Dentate Gyrus	MG10.late	2.1002145002145003	0.0759351143564825	0.12568570652107447	All DEGs	MG10	late
Dentate Gyrus	MG12.late	1.6293997789290042	0.24586839956045453	0.31896441024058964	All DEGs	MG12	late
Dentate Gyrus	MG4.late	2.248192670157068	0.019506881386050223	0.046816515326520536	All DEGs	MG4	late
DLPFC	MG2.late	2.756030051403717	0.0005000998632691643	0.004403213420177313	All DEGs	MG2	late
DLPFC	MG1.early	2.5109593230706495	0.3412354509644127	0.4199820934946618	All DEGs	MG1	early
DLPFC	MG2.early	2.0592529198550142	0.10572693669612832	0.15615055265889718	All DEGs	MG2	early
DLPFC	MG11.late	2.9783546635640876	0.031871733586132045	0.06374346717226409	All DEGs	MG11	late
DLPFC	MG3.early	2.1086495471741373	0.07449497417254593	0.1254652196590247	All DEGs	MG3	early
DLPFC	MG7.early	2.816082673986759	0.0005962684839823444	0.004403213420177313	All DEGs	MG7	early
DLPFC	MG7.late	1.0195302705262865	0.8345582418516494	0.8804130903050368	All DEGs	MG7	late
DLPFC	MG11.early	2.5109593230706495	0.3412354509644127	0.4199820934946618	All DEGs	MG11	early
DLPFC	MG5.late	2.1442217912806147	0.023083198478670925	0.0527615965226764	All DEGs	MG5	late
DLPFC	MG8.early	2.087617914506671	0.13514779911943509	0.19049970081387554	All DEGs	MG8	early
DLPFC	MG0.late	2.1412304673814027	0.031544912346883745	0.06374346717226409	All DEGs	MG0	late
DLPFC	MG12.early	0.9916569263633066	1.0	1.0	All DEGs	MG12	early
DLPFC	MG6.late	0.965114131151867	1.0	1.0	All DEGs	MG6	late
DLPFC	MG0.early	2.4210664479081214	0.13692165995997305	0.19049970081387554	All DEGs	MG0	early
DLPFC	MG3.late	3.588509373738856	0.00002985623033763164	0.0008224423748264775	All DEGs	MG3	late
DLPFC	MG10.early	2.4672853256915137	0.014598479170064602	0.03688036842963689	All DEGs	MG10	early
DLPFC	MG8.late	2.618284805015912	0.010426329015210635	0.03127898704563191	All DEGs	MG8	late
DLPFC	MG4.early	2.3398283534647173	0.05090402929008936	0.0936038019798448	All DEGs	MG4	early
DLPFC	MG1.late	2.7756649688737975	0.011219045406926073	0.03263722300196676	All DEGs	MG1	late
DLPFC	MG5.early	3.262104983623971	0.013426987333399322	0.03562026306867336	All DEGs	MG5	early
DLPFC	MG6.early	1.5603072983354673	0.1612151501242203	0.22109506302750215	All DEGs	MG6	early
DLPFC	MG10.late	2.3186543186543185	0.052667137842372674	0.0936304672753292	All DEGs	MG10	late
DLPFC	MG12.late	1.7985833076686173	0.21225658062907943	0.27913194164920035	All DEGs	MG12	late
DLPFC	MG4.late	2.7290682536730517	0.0025275647066417745	0.011029373265345926	All DEGs	MG4	late
Hippocampus	MG2.late	2.4012795275590553	0.005556771397923272	0.01839482945519428	All DEGs	MG2	late
Hippocampus	MG1.early	5.3835227272727275	0.06219994767196649	0.10662848172337111	All DEGs	MG1	early
Hippocampus	MG2.early	2.0740671894011085	0.1034475618867565	0.15517134283013476	All DEGs	MG2	early
Hippocampus	MG11.late	2.362701273732276	0.09859565330555173	0.15024099551322168	All DEGs	MG11	late
Hippocampus	MG3.early	2.5028058361391694	0.027323793164310068	0.05785337803229755	All DEGs	MG3	early
Hippocampus	MG7.early	1.834279961533838	0.07887324054230896	0.12619718486769432	All DEGs	MG7	early
Hippocampus	MG7.late	2.511111111111111	0.002422665437587511	0.011029373265345926	All DEGs	MG7	late
Hippocampus	MG11.early	2.5288984703829174	0.33930771352031175	0.4199820934946618	All DEGs	MG11	early
Hippocampus	MG5.late	3.0214421737302457	0.0002997590433052409	0.0036947352005122698	All DEGs	MG5	late
Hippocampus	MG8.early	3.2444102112676054	0.013728643057717857	0.03562026306867336	All DEGs	MG8	early
Hippocampus	MG0.late	1.9279856304214493	0.060637734232327	0.10584040884187985	All DEGs	MG0	late
Hippocampus	MG12.early	3.15364572209645	0.0782279658444305	0.12619718486769432	All DEGs	MG12	early
Hippocampus	MG6.late	1.1404320987654322	0.6796166591325042	0.7499218307669012	All DEGs	MG6	late
Hippocampus	MG0.early	4.2386022950480715	0.008820254273475863	0.027314335814634928	All DEGs	MG0	early
Hippocampus	MG3.late	3.1192602040816326	0.0003463814250480253	0.0036947352005122698	All DEGs	MG3	late
Hippocampus	MG10.early	3.087790064745316	0.001521946543437447	0.008664407142719328	All DEGs	MG10	early
Hippocampus	MG8.late	2.9555652048053265	0.0032659532046147325	0.01288599643158197	All DEGs	MG8	late
Hippocampus	MG4.early	3.2120141342756185	0.005087310808408416	0.018088216207674368	All DEGs	MG4	early
Hippocampus	MG1.late	2.056086519114688	0.12896275231114837	0.18493868576108352	All DEGs	MG1	late
Hippocampus	MG5.early	2.6989235500878737	0.04462016728000916	0.08567072117761758	All DEGs	MG5	early
Hippocampus	MG6.early	0.7648443384383631	0.6912222995490107	0.7516624563244184	All DEGs	MG6	early
Hippocampus	MG10.late	1.9252918654280693	0.1960609046557033	0.26141453954093774	All DEGs	MG10	late
Hippocampus	MG12.late	3.8162560656961553	0.0005521983791096686	0.004403213420177313	All DEGs	MG12	late
Hippocampus	MG4.late	2.018634508689073	0.05167709900970599	0.0936038019798448	All DEGs	MG4	late
Caudate	MG2.late	2.5386386810719155	0.012112527125496165	0.05055663495859269	Increased in EA	MG2	late
Caudate	MG1.early	4.239045183290708	0.22017929469436964	0.3154807804576043	Increased in EA	MG1	early
Caudate	MG2.early	2.0440893338467463	0.18876006060411601	0.3076872930439702	Increased in EA	MG2	early
Caudate	MG11.late	1.9227906976744187	0.2850571820839239	0.38542942929657314	Increased in EA	MG11	late
Caudate	MG3.early	0.0	0.42685051333004603	0.525354477944672	Increased in EA	MG3	early
Caudate	MG7.early	1.1907109371224203	0.583531822496839	0.674928373008392	Increased in EA	MG7	early
Caudate	MG7.late	2.0342536873156343	0.09313151988450771	0.18246175324311717	Increased in EA	MG7	late
Caudate	MG11.early	0.0	1.0	1.0	Increased in EA	MG11	early
Caudate	MG5.late	1.2645429362880887	0.5642021041246461	0.6686839752588398	Increased in EA	MG5	late
Caudate	MG8.early	0.0	0.6348251236019666	0.7004966881125149	Increased in EA	MG8	early
Caudate	MG0.late	0.686269055302103	1.0	1.0	Increased in EA	MG0	late
Caudate	MG12.early	1.674148972025615	0.4556853593149755	0.5468224311779706	Increased in EA	MG12	early
Caudate	MG6.late	0.5319010979510677	0.5943994613216882	0.6793136700819293	Increased in EA	MG6	late
Caudate	MG0.early	0.0	1.0	1.0	Increased in EA	MG0	early
Caudate	MG3.late	2.510019326619876	0.026317841918945647	0.08712113186961318	Increased in EA	MG3	late
Caudate	MG10.early	2.251142966430484	0.07905419229824684	0.17248187410526583	Increased in EA	MG10	early
Caudate	MG8.late	2.3853025158203427	0.06563678331634994	0.16286947169665608	Increased in EA	MG8	late
Caudate	MG4.early	0.0	0.4140850016992194	0.5230547389884878	Increased in EA	MG4	early
Caudate	MG1.late	1.1068425760286225	0.7033373865421129	0.7419822978905807	Increased in EA	MG1	late
Caudate	MG5.early	0.0	0.6340493472638629	0.7004966881125149	Increased in EA	MG5	early
Caudate	MG6.early	1.0238288485151195	0.7989093750612704	0.8336445652813256	Increased in EA	MG6	early
Caudate	MG10.late	1.2519716885743175	0.6763817561171739	0.7214738731916521	Increased in EA	MG10	late
Caudate	MG12.late	1.7896055706816374	0.24224407800876827	0.34199163954179046	Increased in EA	MG12	late
Caudate	MG4.late	2.222358943577431	0.060516682263014765	0.16137781936803938	Increased in EA	MG4	late
Dentate Gyrus	MG2.late	2.8748715793406183	0.0037847241704838854	0.02363461887934122	Increased in EA	MG2	late
Dentate Gyrus	MG1.early	4.289460065551147	0.21791862776927615	0.3154807804576043	Increased in EA	MG1	early
Dentate Gyrus	MG2.early	3.5350091303355398	0.016536326765148695	0.06448389922885533	Increased in EA	MG2	early
Dentate Gyrus	MG11.late	0.0	0.6295246987021292	0.7004966881125149	Increased in EA	MG11	late
Dentate Gyrus	MG3.early	1.752778761061947	0.2514794740533602	0.3498844856394577	Increased in EA	MG3	early
Dentate Gyrus	MG7.early	2.1545993879972523	0.051215592109165764	0.14899081340848222	Increased in EA	MG7	early
Dentate Gyrus	MG7.late	3.004243695429491	0.0028118411893065924	0.020764365705648682	Increased in EA	MG7	late
Dentate Gyrus	MG11.early	4.289460065551147	0.21791862776927615	0.3154807804576043	Increased in EA	MG11	early
Dentate Gyrus	MG5.late	2.2899635157545606	0.03950464388080612	0.11851393164241837	Increased in EA	MG5	late
Dentate Gyrus	MG8.early	4.542990072169103	0.006328230413446459	0.030375505984543003	Increased in EA	MG8	early
Dentate Gyrus	MG0.late	2.1496515679442507	0.06837978453157285	0.16286947169665608	Increased in EA	MG0	late
Dentate Gyrus	MG12.early	1.694059878606015	0.4518180521077352	0.5468224311779706	Increased in EA	MG12	early
Dentate Gyrus	MG6.late	1.6588948787061994	0.18817671174067147	0.3076872930439702	Increased in EA	MG6	late
Dentate Gyrus	MG0.early	2.7046840958605665	0.17594508535695239	0.3016201463262041	Increased in EA	MG0	early
Dentate Gyrus	MG3.late	3.318811348662095	0.0023774935542268485	0.019019948433814788	Increased in EA	MG3	late
Dentate Gyrus	MG10.early	1.8059025494922931	0.2921035095904406	0.3894713461205875	Increased in EA	MG10	early
Dentate Gyrus	MG8.late	2.41400515383414	0.06310660493013473	0.16286947169665608	Increased in EA	MG8	late
Dentate Gyrus	MG4.early	1.2780701754385966	0.6724244782295627	0.7214738731916521	Increased in EA	MG4	early
Dentate Gyrus	MG1.late	2.288738905325444	0.10521627599670587	0.20201524991367525	Increased in EA	MG1	late
Dentate Gyrus	MG5.early	3.6236394185112135	0.02852828328739468	0.09129050651966297	Increased in EA	MG5	early
Dentate Gyrus	MG6.early	1.8494040588424783	0.1143830205953717	0.21530921523834673	Increased in EA	MG6	early
Dentate Gyrus	MG10.late	2.594124731633241	0.07516770426793558	0.16781626999353058	Increased in EA	MG10	late
Dentate Gyrus	MG12.late	2.4421104536489153	0.08858197942321613	0.18246175324311717	Increased in EA	MG12	late
Dentate Gyrus	MG4.late	2.2491800291545188	0.05786287066833829	0.1610045667781346	Increased in EA	MG4	late
DLPFC	MG2.late	3.4826058481334514	0.0005758297260124617	0.0067526360070955145	Increased in EA	MG2	late
DLPFC	MG1.early	4.67844390152227	0.20191978606010544	0.3076872930439702	Increased in EA	MG1	early
DLPFC	MG2.early	1.485981308411215	0.39421471120796725	0.5114136794049304	Increased in EA	MG2	early
DLPFC	MG11.late	3.2376379595029112	0.07139079409586084	0.1631789579333962	Increased in EA	MG11	late
DLPFC	MG3.early	1.9127459807073954	0.2139813010848863	0.3154807804576043	Increased in EA	MG3	early
DLPFC	MG7.early	4.190354898964171	0.00006570999779201763	0.0021027199293445643	Increased in EA	MG7	early
DLPFC	MG7.late	1.583384702316741	0.25691652904266604	0.3523426684013706	Increased in EA	MG7	late
DLPFC	MG11.early	4.67844390152227	0.20191978606010544	0.3076872930439702	Increased in EA	MG11	early
DLPFC	MG5.late	2.8813025210084033	0.008852597286990109	0.04046901616909764	Increased in EA	MG5	late
DLPFC	MG8.early	2.8855227985898577	0.0922551623513079	0.18246175324311717	Increased in EA	MG8	early
DLPFC	MG0.late	1.9405693279291167	0.19463934372861763	0.3076872930439702	Increased in EA	MG0	late
DLPFC	MG12.early	1.8476855635634148	0.4239848776921062	0.525354477944672	Increased in EA	MG12	early
DLPFC	MG6.late	1.1909629092666425	0.5834653897180961	0.674928373008392	Increased in EA	MG6	late
DLPFC	MG0.early	2.950735992402659	0.1540032428587757	0.2737835428600457	Increased in EA	MG0	early
DLPFC	MG3.late	5.418183044673424	2.552462479860711e-6	0.00012251819903331414	Increased in EA	MG3	late
DLPFC	MG10.early	1.971246515332537	0.15336701384226117	0.2737835428600457	Increased in EA	MG10	early
DLPFC	MG8.late	3.763887079261672	0.003607178958947088	0.02363461887934122	Increased in EA	MG8	late
DLPFC	MG4.early	1.3943432298695457	0.6576167399486115	0.7174000799439398	Increased in EA	MG4	early
DLPFC	MG1.late	3.1577606197283594	0.024918347114609055	0.0854343329643739	Increased in EA	MG1	late
DLPFC	MG5.early	2.920829738844012	0.08982358589960267	0.18246175324311717	Increased in EA	MG5	early
DLPFC	MG6.early	1.4234281091077208	0.4103801772538651	0.5230547389884878	Increased in EA	MG6	early
DLPFC	MG10.late	2.8316300314016556	0.05869958163786157	0.1610045667781346	Increased in EA	MG10	late
DLPFC	MG12.late	2.6656989247311826	0.06955883687044687	0.16286947169665608	Increased in EA	MG12	late
DLPFC	MG4.late	3.330907620780271	0.00393910314655687	0.02363461887934122	Increased in EA	MG4	late
Hippocampus	MG2.late	3.878827600671141	0.0001309159960547909	0.0024393683268623114	Increased in EA	MG2	late
Hippocampus	MG1.early	4.7397677517608985	0.19960916266327744	0.3076872930439702	Increased in EA	MG1	early
Hippocampus	MG2.early	2.287105893921701	0.15077866206382165	0.2737835428600457	Increased in EA	MG2	early
Hippocampus	MG11.late	3.280350382956246	0.06927200115568483	0.16286947169665608	Increased in EA	MG11	late
Hippocampus	MG3.early	4.010946937014668	0.005094058457201485	0.025738400625860136	Increased in EA	MG3	early
Hippocampus	MG7.early	2.746619177472313	0.011454421443301971	0.0499829299344086	Increased in EA	MG7	early
Hippocampus	MG7.late	4.054787015477332	0.00008824530338450334	0.0021178872812280805	Increased in EA	MG7	late
Hippocampus	MG11.early	4.7397677517608985	0.19960916266327744	0.3076872930439702	Increased in EA	MG11	early
Hippocampus	MG5.late	3.707657657657658	0.0006330596256652045	0.0067526360070955145	Increased in EA	MG5	late
Hippocampus	MG8.early	3.958711940060577	0.02163555010447901	0.07988510807807635	Increased in EA	MG8	early
Hippocampus	MG0.late	3.2247414608684304	0.004735049335392248	0.025738400625860136	Increased in EA	MG0	late
Hippocampus	MG12.early	5.928497656312068	0.016792682090847746	0.06448389922885533	Increased in EA	MG12	early
Hippocampus	MG6.late	1.5191051398989277	0.3932593213809457	0.5114136794049304	Increased in EA	MG6	late
Hippocampus	MG0.early	6.250125691302162	0.0049743379545147196	0.025738400625860136	Increased in EA	MG0	early
Hippocampus	MG3.late	5.4920439590490355	2.217024067938035e-6	0.00012251819903331414	Increased in EA	MG3	late
Hippocampus	MG10.early	4.150725123648252	0.0010722915623061753	0.009358180907399349	Increased in EA	MG10	early
Hippocampus	MG8.late	4.4030401351171164	0.0007470840998389475	0.007172007358453896	Increased in EA	MG8	late
Hippocampus	MG4.early	5.257577133860175	0.0005884956534983463	0.0067526360070955145	Increased in EA	MG4	early
Hippocampus	MG1.late	3.199690202659094	0.023744637446626176	0.08442537758800418	Increased in EA	MG1	late
Hippocampus	MG5.early	2.959362834670692	0.0872325827405096	0.18246175324311717	Increased in EA	MG5	early
Hippocampus	MG6.early	0.8535934576200707	1.0	1.0	Increased in EA	MG6	early
Hippocampus	MG10.late	2.1259214812274987	0.17453466161771386	0.3016201463262041	Increased in EA	MG10	late
Hippocampus	MG12.late	5.663165106188628	0.00015246052042889447	0.0024393683268623114	Increased in EA	MG12	late
Hippocampus	MG4.late	2.489158163265306	0.039184323291008794	0.11851393164241837	Increased in EA	MG4	late
Caudate	MG2.late	3.502979515828678	0.0001854604414533762	0.006070463124202221	Increased in AA	MG2	late
Caudate	MG1.early	0.0	1.0	1.0	Increased in AA	MG1	early
Caudate	MG2.early	3.2511034047919294	0.022596964761038472	0.10846543085298466	Increased in AA	MG2	early
Caudate	MG11.late	5.737912405942504	0.0009575471661210177	0.015320754657936283	Increased in AA	MG11	late
Caudate	MG3.early	2.746790172819761	0.04100846918103553	0.1406004657635504	Increased in AA	MG3	early
Caudate	MG7.early	1.1084738892516945	0.7862871820110389	1.0	Increased in AA	MG7	early
Caudate	MG7.late	1.3337019689478706	0.43380744786708625	0.7250003632088219	Increased in AA	MG7	late
Caudate	MG11.early	0.0	1.0	1.0	Increased in AA	MG11	early
Caudate	MG5.late	2.7460669424968414	0.007670707283932502	0.06136565827146002	Increased in AA	MG5	late
Caudate	MG8.early	3.2926164683990162	0.03816678053091764	0.13820813762417225	Increased in AA	MG8	early
Caudate	MG0.late	3.3975551604856604	0.0011990612901845456	0.01644426912253091	Increased in AA	MG0	late
Caudate	MG12.early	3.201961543424958	0.1366456723623806	0.3643884596330149	Increased in AA	MG12	early
Caudate	MG6.late	0.7478707008436081	0.8021121019767374	1.0	Increased in AA	MG6	late
Caudate	MG0.early	2.489210077285958	0.19916542651007482	0.44464839406900425	Increased in AA	MG0	early
Caudate	MG3.late	3.7856644332774985	0.0002990478038938759	0.0071771472934530215	Increased in AA	MG3	late
Caudate	MG10.early	2.9868166424770197	0.011669384834764243	0.06593049977568695	Increased in AA	MG10	early
Caudate	MG8.late	2.6892497505216366	0.028942193997024124	0.13204682444525678	Increased in AA	MG8	late
Caudate	MG4.early	1.7848932281646788	0.2436109965688348	0.4832384663247182	Increased in AA	MG4	early
Caudate	MG1.late	3.8044615384615383	0.0034506748680862387	0.030114980666934448	Increased in AA	MG1	late
Caudate	MG5.early	4.230532786885246	0.008414195878908948	0.06213560033655839	Increased in AA	MG5	early
Caudate	MG6.early	1.1989656518345042	0.6165665436299544	0.8834386296787408	Increased in AA	MG6	early
Caudate	MG10.late	4.325874125874126	0.001749332435198302	0.018659545975448555	Increased in AA	MG10	late
Caudate	MG12.late	2.839578454332553	0.03655836723076731	0.13820813762417225	Increased in AA	MG12	late
Caudate	MG4.late	2.8013972906194087	0.010356219589606726	0.06593049977568695	Increased in AA	MG4	late
Dentate Gyrus	MG2.late	1.6227452734616548	0.2466529671865749	0.4832384663247182	Increased in AA	MG2	late
Dentate Gyrus	MG1.early	0.0	1.0	1.0	Increased in AA	MG1	early
Dentate Gyrus	MG2.early	3.2612151067323483	0.03887103870679844	0.13820813762417225	Increased in AA	MG2	early
Dentate Gyrus	MG11.late	3.462942323767066	0.06109414561988211	0.19550126598362277	Increased in AA	MG11	late
Dentate Gyrus	MG3.early	3.4894646524319914	0.01722816881003955	0.08851034222842522	Increased in AA	MG3	early
Dentate Gyrus	MG7.early	4.084745507856552	0.0001589278604120718	0.006070463124202221	Increased in AA	MG7	early
Dentate Gyrus	MG7.late	2.40790243902439	0.031636218356676106	0.13204682444525678	Increased in AA	MG7	late
Dentate Gyrus	MG11.early	0.0	1.0	1.0	Increased in AA	MG11	early
Dentate Gyrus	MG5.late	3.4988907245692706	0.0016821377491082513	0.018659545975448555	Increased in AA	MG5	late
Dentate Gyrus	MG8.early	3.086324680163955	0.07933234488499633	0.23799703465498898	Increased in AA	MG8	early
Dentate Gyrus	MG0.late	1.6474429451940695	0.3159736444131698	0.583827488884619	Increased in AA	MG0	late
Dentate Gyrus	MG12.early	0.0	1.0	1.0	Increased in AA	MG12	early
Dentate Gyrus	MG6.late	0.9487228804431451	1.0	1.0	Increased in AA	MG6	late
Dentate Gyrus	MG0.early	1.5436549798324541	0.48172029340056305	0.7524304847378145	Increased in AA	MG0	early
Dentate Gyrus	MG3.late	4.354049295774648	0.00018970197263131942	0.006070463124202221	Increased in AA	MG3	late
Dentate Gyrus	MG10.early	3.7999693204479215	0.003420253393033295	0.030114980666934448	Increased in AA	MG10	early
Dentate Gyrus	MG8.late	3.4188741721854305	0.010410056179535528	0.06593049977568695	Increased in AA	MG8	late
Dentate Gyrus	MG4.early	3.868574456809751	0.011675192668611232	0.06593049977568695	Increased in AA	MG4	early
Dentate Gyrus	MG1.late	4.840195121951219	0.0009277000119874704	0.015320754657936283	Increased in AA	MG1	late
Dentate Gyrus	MG5.early	4.231587909748829	0.017517671899375822	0.08851034222842522	Increased in AA	MG5	early
Dentate Gyrus	MG6.early	1.840800477897252	0.15210627562899365	0.3842684857995629	Increased in AA	MG6	early
Dentate Gyrus	MG10.late	1.4780226325193568	0.3965823280460985	0.6798554195075974	Increased in AA	MG10	late
Dentate Gyrus	MG12.late	0.6883653819473349	1.0	1.0	Increased in AA	MG12	late
Dentate Gyrus	MG4.late	2.1722024133630757	0.08824680362781002	0.2567179741899928	Increased in AA	MG4	late
DLPFC	MG2.late	1.8129101399063376	0.20981885726795102	0.45778659767552954	Increased in AA	MG2	late
DLPFC	MG1.early	0.0	1.0	1.0	Increased in AA	MG1	early
DLPFC	MG2.early	2.695185426154847	0.10659334887922256	0.29237032835443905	Increased in AA	MG2	early
DLPFC	MG11.late	2.5329262086513995	0.19283225043567617	0.44075942956725983	Increased in AA	MG11	late
DLPFC	MG3.early	2.283770114942529	0.15088342241333433	0.3842684857995629	Increased in AA	MG3	early
DLPFC	MG7.early	1.1691972943569369	0.7458374283817021	0.9944499045089361	Increased in AA	MG7	early
DLPFC	MG7.late	0.36693500475285173	0.5302503956058633	0.7953755934087949	Increased in AA	MG7	late
DLPFC	MG11.early	0.0	1.0	1.0	Increased in AA	MG11	early
DLPFC	MG5.late	1.2413793103448276	0.524802586188378	0.7953755934087949	Increased in AA	MG5	late
DLPFC	MG8.early	1.112771192127041	0.5959992294134694	0.8669079700559554	Increased in AA	MG8	early
DLPFC	MG0.late	2.319882295610451	0.07154853646358293	0.2215696613065794	Increased in AA	MG0	late
DLPFC	MG12.early	0.0	1.0	1.0	Increased in AA	MG12	early
DLPFC	MG6.late	0.7007009279491473	1.0	1.0	Increased in AA	MG6	late
DLPFC	MG0.early	1.7218112685793294	0.44557313988875513	0.7250003632088219	Increased in AA	MG0	early
DLPFC	MG3.late	1.3745349547448498	0.48594468805983854	0.7524304847378145	Increased in AA	MG3	late
DLPFC	MG10.early	2.9736924146862034	0.030762513110568688	0.13204682444525678	Increased in AA	MG10	early
DLPFC	MG8.late	1.2216695395222852	0.6813150491621166	0.947916590138597	Increased in AA	MG8	late
DLPFC	MG4.early	3.413324175824176	0.033806963414168056	0.13522785365667223	Increased in AA	MG4	early
DLPFC	MG1.late	2.2125991267931924	0.1608639340559583	0.38988034574988467	Increased in AA	MG1	late
DLPFC	MG5.early	3.487384356602187	0.05989621709609844	0.19550126598362277	Increased in AA	MG5	early
DLPFC	MG6.early	1.7016685052399338	0.22898603678264792	0.4677161602368979	Increased in AA	MG6	early
DLPFC	MG10.late	1.6492532359774312	0.34681211376700694	0.6165548689191235	Increased in AA	MG10	late
DLPFC	MG12.late	0.7678135336486445	1.0	1.0	Increased in AA	MG12	late
DLPFC	MG4.late	1.924087024087024	0.16245014406245195	0.38988034574988467	Increased in AA	MG4	late
Hippocampus	MG2.late	0.7086896630890203	1.0	1.0	Increased in AA	MG2	late
Hippocampus	MG1.early	5.57906508611049	0.1725788394691647	0.4040870387570686	Increased in AA	MG1	early
Hippocampus	MG2.early	1.7731326246700436	0.31623988981250195	0.583827488884619	Increased in AA	MG2	early
Hippocampus	MG11.late	1.2449969981989193	0.5557390695616706	0.8207838565833904	Increased in AA	MG11	late
Hippocampus	MG3.early	0.7435106733331337	1.0	1.0	Increased in AA	MG3	early
Hippocampus	MG7.early	0.7732761857089225	1.0	1.0	Increased in AA	MG7	early
Hippocampus	MG7.late	0.7395898817542285	1.0	1.0	Increased in AA	MG7	late
Hippocampus	MG11.early	0.0	1.0	1.0	Increased in AA	MG11	early
