GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	Bias	geneRatio
GO:0035195	BP	p	gene silencing by miRNA	2/1163	557/29107	1.668669405370318e-06	10	2	0.005445977563345534	9337.0, 29883.0	2.263924152223983	hippocampus	AA	0.0034393809114359416
GO:0043161	BP	e	proteasome-mediated ubiquitin-dependent protein catabolic process	21/1163	160/29107	1.752667974364964e-06	9	21	0.005445977563345534	406.0, 1499.0, 3429.0, 4780.0, 5683.0, 5693.0, 5708.0, 6047.0, 9097.0, 9373.0, 9870.0, 10213.0, 10299.0, 10513.0, 11124.0, 56929.0, 83737.0, 84078.0, 84101.0, 84727.0, 122416.0	2.263924152223983	hippocampus	AA	0.03611349957007739
GO:0005783	CC	e	endoplasmic reticulum	77/1163	1040/29107	2.288563544798887e-06	5	77	0.0007705065066893815	824.0, 831.0, 857.0, 1717.0, 2264.0, 2531.0, 3140.0, 3433.0, 4118.0, 4257.0, 4864.0, 5287.0, 5764.0, 6388.0, 6729.0, 6731.0, 6746.0, 6890.0, 6891.0, 6892.0, 7060.0, 7162.0, 7247.0, 7444.0, 7841.0, 7869.0, 8560.0, 8630.0, 8878.0, 9107.0, 9218.0, 9468.0, 9562.0, 9695.0, 9897.0, 10299.0, 10463.0, 10483.0, 10554.0, 10558.0, 10972.0, 22937.0, 23120.0, 23155.0, 23385.0, 23585.0, 29979.0, 51026.0, 51114.0, 51201.0, 51257.0, 51290.0, 51435.0, 53407.0, 55379.0, 56605.0, 60481.0, 64714.0, 64834.0, 64848.0, 79001.0, 80235.0, 81573.0, 83787.0, 84899.0, 91445.0, 92140.0, 94101.0, 115817.0, 171546.0, 204219.0, 206358.0, 253558.0, 284161.0, 439921.0, 497661.0, 768206.0	3.113223689447363	hippocampus	AA	0.13241616509028376
GO:0005789	CC	e	endoplasmic reticulum membrane	102/1163	973/29107	2.420143890378032e-06	4	102	0.0007705065066893815	310.0, 537.0, 857.0, 950.0, 1314.0, 1543.0, 1577.0, 1717.0, 1956.0, 2052.0, 2329.0, 2475.0, 2531.0, 2677.0, 3140.0, 3290.0, 3429.0, 3703.0, 3930.0, 3992.0, 4257.0, 5279.0, 5281.0, 6717.0, 6746.0, 6890.0, 6891.0, 6892.0, 7444.0, 7841.0, 8560.0, 8605.0, 8818.0, 9200.0, 9218.0, 9367.0, 9468.0, 9488.0, 9776.0, 10159.0, 10299.0, 10390.0, 10483.0, 10554.0, 10558.0, 10826.0, 10890.0, 10972.0, 11345.0, 22845.0, 22937.0, 23120.0, 23155.0, 23256.0, 23399.0, 23769.0, 26002.0, 28972.0, 29880.0, 51075.0, 51114.0, 51201.0, 51257.0, 51290.0, 51435.0, 51465.0, 51528.0, 53407.0, 54762.0, 55014.0, 55102.0, 55144.0, 55379.0, 56605.0, 60481.0, 63874.0, 64834.0, 64900.0, 79001.0, 79022.0, 79966.0, 80235.0, 80270.0, 81537.0, 81573.0, 83787.0, 85465.0, 91445.0, 92140.0, 93492.0, 94005.0, 94101.0, 123099.0, 128869.0, 171546.0, 202052.0, 204219.0, 253558.0, 258010.0, 284161.0, 440026.0, 729238.0	3.113223689447363	hippocampus	AA	0.17540842648323302
GO:0005739	CC	e	mitochondrion	100/1163	1305/29107	3.116465125191249e-06	5	100	0.0007705065066893815	142.0, 212.0, 291.0, 411.0, 501.0, 515.0, 516.0, 883.0, 1653.0, 1656.0, 1716.0, 1757.0, 2066.0, 2232.0, 2235.0, 2729.0, 2936.0, 3429.0, 3992.0, 4077.0, 4191.0, 4257.0, 4329.0, 4711.0, 5106.0, 5160.0, 5445.0, 5625.0, 5825.0, 6059.0, 6150.0, 6392.0, 6717.0, 7390.0, 7818.0, 8192.0, 8209.0, 8546.0, 8560.0, 8604.0, 8878.0, 8996.0, 9054.0, 9158.0, 9776.0, 10102.0, 10128.0, 10367.0, 10730.0, 10773.0, 10845.0, 23078.0, 23385.0, 23408.0, 23446.0, 25912.0, 26073.0, 26128.0, 26355.0, 26517.0, 29083.0, 50808.0, 51075.0, 51142.0, 51660.0, 51741.0, 54881.0, 55014.0, 55156.0, 55278.0, 55794.0, 55863.0, 56942.0, 56953.0, 57153.0, 57406.0, 57509.0, 63874.0, 64127.0, 64965.0, 80179.0, 80726.0, 83787.0, 84311.0, 84340.0, 84545.0, 84749.0, 90529.0, 92259.0, 114971.0, 123263.0, 131076.0, 137872.0, 170506.0, 196294.0, 200895.0, 283459.0, 374986.0, 440503.0, 548596.0	3.113223689447363	hippocampus	AA	0.17196904557179707
GO:0031902	CC	e	late endosome membrane	18/1163	127/29107	3.13638142733345e-06	7	18	0.0007705065066893815	950.0, 1182.0, 3140.0, 3920.0, 4864.0, 10410.0, 23120.0, 23339.0, 25978.0, 27183.0, 29919.0, 54664.0, 55353.0, 55529.0, 57406.0, 65082.0, 93343.0, 168391.0	3.113223689447363	hippocampus	AA	0.030954428202923472
GO:0006911	BP	e	phagocytosis, engulfment	9/1097	26/29107	2.599376516174628e-07	7	9	0.001338168593233106	199.0, 948.0, 2213.0, 3684.0, 4481.0, 4627.0, 9938.0, 26762.0, 51411.0	2.8734891672122433	hippocampus	EA	0.016408386508659983
GO:0032930	BP	e	positive regulation of superoxide anion generation	8/1097	20/29107	3.336838746042357e-07	8	8	0.001338168593233106	1535.0, 2150.0, 2773.0, 3684.0, 6850.0, 7305.0, 64581.0, 84329.0	2.8734891672122433	hippocampus	EA	0.014585232452142206
GO:0032755	BP	e	positive regulation of interleukin-6 production	21/1097	93/29107	3.702872524949973e-07	8	21	0.001338168593233106	199.0, 948.0, 1535.0, 2150.0, 3146.0, 3570.0, 3603.0, 4843.0, 5336.0, 6850.0, 7099.0, 7292.0, 7305.0, 7494.0, 11027.0, 23765.0, 51284.0, 64170.0, 64581.0, 113277.0, 338382.0	2.8734891672122433	hippocampus	EA	0.03828623518687329
GO:0032731	BP	e	positive regulation of interleukin-1 beta production	13/1097	62/29107	4.306600991980389e-07	9	13	0.001338168593233106	834.0, 841.0, 948.0, 2150.0, 3146.0, 6348.0, 7099.0, 7305.0, 9447.0, 11027.0, 64581.0, 113277.0, 114548.0	2.8734891672122433	hippocampus	EA	0.023701002734731084
GO:0060271	BP	e	cilium assembly	25/1097	204/29107	8.720943739583186e-07	7	25	0.00205270575430931	4117.0, 4735.0, 4750.0, 6102.0, 10257.0, 25937.0, 30844.0, 51473.0, 55764.0, 55779.0, 64518.0, 79600.0, 79867.0, 80217.0, 83547.0, 118491.0, 123872.0, 129880.0, 144535.0, 146845.0, 196383.0, 197335.0, 199221.0, 255758.0, 647309.0	2.687673300234059	hippocampus	EA	0.04557885141294439
GO:0009897	CC	e	external side of plasma membrane	31/1097	295/29107	9.420270399288573e-07	3	31	0.001013842876493766	657.0, 942.0, 948.0, 958.0, 1441.0, 2213.0, 2217.0, 3568.0, 3570.0, 3597.0, 3598.0, 3684.0, 3687.0, 3762.0, 4065.0, 4481.0, 7099.0, 9936.0, 10859.0, 30835.0, 53340.0, 54718.0, 64805.0, 80328.0, 80741.0, 84168.0, 115650.0, 117531.0, 131450.0, 283316.0, 100507436.0	2.994029345948592	hippocampus	EA	0.056517775752051046
GO:0006954	BP	e	inflammatory response	39/1097	387/29107	1.020465593690808e-06	4	39	0.00205270575430931	140.0, 199.0, 958.0, 1535.0, 2150.0, 2213.0, 2350.0, 2532.0, 3146.0, 3551.0, 3606.0, 4065.0, 4261.0, 4671.0, 4843.0, 5294.0, 5919.0, 6348.0, 6614.0, 7099.0, 7100.0, 7292.0, 8517.0, 8534.0, 9051.0, 9447.0, 23166.0, 23765.0, 51284.0, 54472.0, 57118.0, 64581.0, 81793.0, 84807.0, 84868.0, 114548.0, 144811.0, 146433.0, 100137049.0	2.687673300234059	hippocampus	EA	0.07110300820419325
GO:0005930	CC	e	axoneme	21/1097	113/29107	1.156694667990606e-06	2	21	0.001013842876493766	4117.0, 4735.0, 51473.0, 54777.0, 55130.0, 55259.0, 79819.0, 80217.0, 93233.0, 115948.0, 118491.0, 123872.0, 129880.0, 144406.0, 144535.0, 146754.0, 146845.0, 158067.0, 158798.0, 199221.0, 255758.0	2.994029345948592	hippocampus	EA	0.03828623518687329
GO:0051092	BP	e	positive regulation of NF-kappaB transcription factor activity	20/1097	152/29107	1.216357298660621e-06	12	20	0.00205270575430931	268.0, 695.0, 948.0, 958.0, 3551.0, 3606.0, 3654.0, 4057.0, 5336.0, 7099.0, 8517.0, 9447.0, 11035.0, 26585.0, 64170.0, 64581.0, 65992.0, 84433.0, 114548.0, 338382.0	2.687673300234059	hippocampus	EA	0.03646308113035551
GO:0045087	BP	e	innate immune response	43/1097	461/29107	1.379945374600284e-06	6	43	0.00205270575430931	695.0, 1535.0, 2150.0, 2444.0, 3146.0, 3551.0, 3654.0, 3684.0, 4671.0, 5294.0, 5919.0, 6502.0, 6503.0, 6850.0, 7099.0, 7100.0, 8517.0, 9051.0, 9447.0, 10406.0, 11027.0, 23547.0, 23601.0, 23765.0, 30835.0, 51284.0, 51296.0, 54472.0, 80231.0, 81035.0, 81793.0, 84282.0, 84868.0, 92610.0, 113277.0, 114548.0, 115004.0, 144811.0, 146433.0, 171568.0, 219972.0, 286430.0, 340205.0	2.687673300234059	hippocampus	EA	0.07839562443026436
