GO:0045956 BP 2.51e-07    4/66    14/16076 D10 positive regulation of calcium ion-dependent exocytosis 6804.0, 8911.0, 8941.0, 9066.0 
GO:0045202 CC 3.39e-05    9/66   398/16076 D03 synapse                                  774.0, 816.0, 1128.0, 1759.0, 1917.0, 2902.0, 5798.0, 6543.0, 57468.0 
GO:0043679 CC 4.78e-05    4/66    49/16076 D03 axon terminus                            1128.0, 5798.0, 6543.0, 6620.0 
GO:0016533 CC 4.97e-05    2/66     3/16076 D07 protein kinase 5 complex                 8851.0, 8941.0 
GO:0070033 CC 4.97e-05    2/66     3/16076 D04 synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex 6804.0, 10814.0 
GO:0014069 CC 6.35e-05    7/66   245/16076 D04 postsynaptic density                     815.0, 2785.0, 2902.0, 4900.0, 6543.0, 8851.0, 9912.0 
GO:0005954 CC 1.65e-04    2/66     5/16076 D03 calcium- and calmodulin-dependent protein kinase complex 815.0, 816.0 
GO:0032809 CC 1.80e-04    3/66    27/16076 D03 neuronal cell body membrane              491.0, 3208.0, 7070.0 
GO:0032590 CC 2.01e-04    3/66    28/16076 D06 dendrite membrane                        3208.0, 7070.0, 57468.0 
GO:0048787 CC 2.74e-04    3/66    31/16076 D05 presynaptic active zone membrane         491.0, 6804.0, 112755.0 
GO:0098982 CC 2.80e-04    4/66    77/16076 D04 GABA-ergic synapse                       491.0, 492.0, 9746.0, 388662.0 
GO:0043197 CC 3.52e-04    5/66   148/16076 D06 dendritic spine                          815.0, 2902.0, 6543.0, 8851.0, 9912.0 
GO:0043195 CC 3.94e-04    3/66    35/16076 D03 terminal bouton                          2902.0, 10814.0, 23025.0 
GO:0044327 CC 4.57e-04    2/66     8/16076 D02 dendritic spine head                     3208.0, 4900.0 
GO:0048786 CC 5.86e-04    3/66    40/16076 D02 presynaptic active zone                  8506.0, 9912.0, 23025.0 
GO:0031045 CC 7.31e-04    2/66    10/16076 D09 dense core granule                       6861.0, 9066.0 
GO:0031201 CC 7.76e-04    3/66    44/16076 D03 SNARE complex                            6804.0, 10814.0, 112755.0 
GO:0005516 MF 1.81e-10   11/66   182/16076 D03 calmodulin binding                       107.0, 491.0, 492.0, 815.0, 816.0, 2902.0, 4900.0, 6543.0, 9066.0, 23025.0, 79012.0 
GO:0000149 MF 3.87e-06    5/66    58/16076 D03 SNARE binding                            6804.0, 6861.0, 9066.0, 10814.0, 112755.0 
