GO:0006974 BP 2.04e-07  15/189   246/16170 D04 cellular response to DNA damage stimulus 5591.0, 7520.0, 9031.0, 11335.0, 23064.0, 23411.0, 23517.0, 25836.0, 51426.0, 55031.0, 57223.0, 57551.0, 200933.0, 257218.0, 259282.0 
GO:0045945 BP 1.57e-06   5/189    18/16170 D11 positive regulation of transcription by RNA polymerase III 8467.0, 9031.0, 23379.0, 23451.0, 57680.0 
GO:0071013 CC 8.69e-06   8/189    88/16170 D04 catalytic step 2 spliceosome             988.0, 3183.0, 10236.0, 10492.0, 23020.0, 23451.0, 23517.0, 51340.0 
GO:0016607 CC 1.21e-05  16/189   385/16170 D03 nuclear speck                            988.0, 6651.0, 6733.0, 7994.0, 9321.0, 9584.0, 23451.0, 23517.0, 25831.0, 25962.0, 27332.0, 49855.0, 51340.0, 55660.0, 55904.0, 57223.0 
GO:0070937 CC 1.54e-05   3/189     5/16170 D03 CRD-mediated mRNA stability complex      1660.0, 7812.0, 10492.0 
GO:0030289 CC 1.54e-05   3/189     5/16170 D05 protein phosphatase 4 complex            9989.0, 57223.0, 151987.0 
GO:0005829 CC 1.71e-05  83/189  4723/16170 D02 cytosol                                  372.0, 667.0, 1315.0, 1660.0, 1739.0, 1778.0, 1998.0, 2058.0, 2060.0, 2803.0, 2804.0, 3183.0, 3837.0, 3841.0, 4646.0, 5108.0, 5591.0, 5781.0, 5885.0, 5928.0, 6093.0, 6418.0, 6655.0, 6733.0, 6885.0, 7110.0, 7155.0, 7520.0, 7812.0, 7994.0, 8087.0, 8239.0, 8411.0, 8476.0, 8725.0, 9126.0, 9147.0, 9276.0, 9793.0, 9972.0, 10142.0, 10492.0, 10640.0, 10806.0, 10845.0, 11124.0, 22796.0, 22878.0, 23001.0, 23063.0, 23317.0, 23411.0, 25836.0, 25962.0, 26054.0, 26058.0, 26060.0, 26130.0, 26234.0, 29110.0, 49855.0, 51520.0, 51542.0, 51727.0, 51742.0, 54832.0, 54906.0, 55031.0, 55125.0, 55291.0, 55770.0, 55773.0, 57448.0, 57551.0, 65056.0, 79577.0, 80184.0, 96459.0, 113251.0, 115548.0, 122773.0, 137492.0, 285331.0 
GO:0016589 CC 3.06e-05   3/189     6/16170 D06 NURF complex                             2186.0, 5928.0, 8467.0 
GO:0110016 CC 5.31e-05   3/189     7/16170 D05 B-WICH complex                           8467.0, 9031.0, 23451.0 
GO:0005730 CC 1.09e-04  24/189   871/16170 D05 nucleolus                                1660.0, 5591.0, 6733.0, 6917.0, 7155.0, 7520.0, 7994.0, 8087.0, 8467.0, 9031.0, 9169.0, 9793.0, 9972.0, 23001.0, 23064.0, 23160.0, 23411.0, 23451.0, 23517.0, 25926.0, 26009.0, 27340.0, 51575.0, 51727.0 
GO:0090535 CC 1.36e-04   2/189     2/16170 D06 WICH complex                             8467.0, 9031.0 
GO:0005681 CC 1.93e-04   7/189   102/16170 D03 spliceosomal complex                     988.0, 3183.0, 10236.0, 23020.0, 23451.0, 27336.0, 51340.0 
GO:0005635 CC 2.19e-04   9/189   175/16170 D04 nuclear envelope                         667.0, 3837.0, 7175.0, 9972.0, 11124.0, 11335.0, 23001.0, 23411.0, 57142.0 
GO:0005813 CC 3.03e-04  16/189   506/16170 D03 centrosome                               1660.0, 1778.0, 5108.0, 9786.0, 9793.0, 9857.0, 10142.0, 10806.0, 55125.0, 57223.0, 80184.0, 137492.0, 151987.0, 259282.0, 285331.0, 285753.0 
GO:0000145 CC 3.20e-04   3/189    12/16170 D03 exocyst                                  10640.0, 23233.0, 55770.0 
GO:0000781 CC 3.68e-04   8/189   149/16170 D03 chromosome, telomeric region             5431.0, 5591.0, 5928.0, 7520.0, 11335.0, 23064.0, 23347.0, 79577.0 
GO:0000791 CC 3.77e-04   5/189    53/16170 D03 euchromatin                              1385.0, 11335.0, 23379.0, 23411.0, 55904.0 
GO:0070418 CC 4.05e-04   2/189     3/16170 D07 DNA-dependent protein kinase complex     5591.0, 7520.0 
GO:1990917 CC 4.05e-04   2/189     3/16170 D03 ooplasm                                  11124.0, 49855.0 
GO:0030126 CC 4.12e-04   3/189    13/16170 D05 COPI vesicle coat                        372.0, 1315.0, 9276.0 
GO:0016586 CC 5.20e-04   3/189    14/16170 D05 RSC-type complex                         6599.0, 55193.0, 196528.0 
GO:0016363 CC 5.22e-04   7/189   120/16170 D02 nuclear matrix                           5885.0, 6599.0, 9126.0, 23515.0, 55193.0, 55660.0, 196528.0 
GO:0003723 MF 1.28e-11  46/189  1329/16170 D04 RNA binding                              372.0, 988.0, 1660.0, 1778.0, 2804.0, 3183.0, 3837.0, 3895.0, 5431.0, 5591.0, 6651.0, 6733.0, 7175.0, 7520.0, 7812.0, 8087.0, 9169.0, 9584.0, 10236.0, 10492.0, 11198.0, 23020.0, 23064.0, 23160.0, 23272.0, 23451.0, 23499.0, 23515.0, 23517.0, 25926.0, 25962.0, 26058.0, 27332.0, 27336.0, 27340.0, 51340.0, 51575.0, 54505.0, 55660.0, 57142.0, 58508.0, 65056.0, 65117.0, 79811.0, 113251.0, 153443.0 
GO:0005515 MF 9.63e-08 155/189 10383/16170 D02 protein binding                          102.0, 372.0, 667.0, 889.0, 961.0, 988.0, 1315.0, 1385.0, 1660.0, 1739.0, 1778.0, 1998.0, 2058.0, 2060.0, 2186.0, 2187.0, 2803.0, 2804.0, 3183.0, 3572.0, 3837.0, 3841.0, 3895.0, 4194.0, 4646.0, 5108.0, 5431.0, 5591.0, 5781.0, 5885.0, 5928.0, 6093.0, 6418.0, 6599.0, 6651.0, 6655.0, 6733.0, 6885.0, 6917.0, 7110.0, 7175.0, 7520.0, 7812.0, 7994.0, 8087.0, 8239.0, 8411.0, 8417.0, 8467.0, 8476.0, 8725.0, 9031.0, 9126.0, 9135.0, 9169.0, 9276.0, 9321.0, 9584.0, 9786.0, 9793.0, 9857.0, 9972.0, 9989.0, 9994.0, 10054.0, 10142.0, 10236.0, 10492.0, 10640.0, 10771.0, 10806.0, 10845.0, 11124.0, 11198.0, 11335.0, 22796.0, 22878.0, 23001.0, 23020.0, 23063.0, 23064.0, 23160.0, 23233.0, 23269.0, 23272.0, 23317.0, 23347.0, 23379.0, 23411.0, 23451.0, 23499.0, 23515.0, 23517.0, 25831.0, 25836.0, 25926.0, 25962.0, 26009.0, 26054.0, 26058.0, 26060.0, 26130.0, 26234.0, 27130.0, 27336.0, 27340.0, 29072.0, 29110.0, 29966.0, 49855.0, 51340.0, 51389.0, 51520.0, 51542.0, 51742.0, 54901.0, 54906.0, 55023.0, 55031.0, 55125.0, 55193.0, 55291.0, 55660.0, 55757.0, 55770.0, 55773.0, 55904.0, 57120.0, 57142.0, 57448.0, 57551.0, 57680.0, 58508.0, 64786.0, 65056.0, 65117.0, 79577.0, 79811.0, 80184.0, 80318.0, 96459.0, 113251.0, 115548.0, 137492.0, 143884.0, 151987.0, 196441.0, 196528.0, 200933.0, 219899.0, 257218.0, 259232.0, 259282.0, 285331.0, 285753.0 
GO:0003677 MF 1.09e-06  26/189   770/16170 D04 DNA binding                              988.0, 1660.0, 5431.0, 5885.0, 6418.0, 6651.0, 6917.0, 7110.0, 7155.0, 7520.0, 7994.0, 8467.0, 9972.0, 10142.0, 23036.0, 23064.0, 23347.0, 26009.0, 55193.0, 55279.0, 57680.0, 58508.0, 65056.0, 168850.0, 196528.0, 257218.0 
GO:0035064 MF 1.16e-05   7/189    66/16170 D05 methylated histone binding               2186.0, 10771.0, 11335.0, 23515.0, 26009.0, 55904.0, 57680.0 
GO:0042393 MF 2.09e-05  10/189   162/16170 D03 histone binding                          5928.0, 6418.0, 6599.0, 7994.0, 8467.0, 9031.0, 23411.0, 54454.0, 57680.0, 58508.0 
