GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	geneRatio
GO:0062023	CC	e	collagen-containing extracellular matrix	29/710	374/29107	6.404084916360435e-07	4	29	0.000611346859063272	183.0, 1075.0, 1290.0, 1299.0, 2006.0, 2152.0, 2202.0, 2662.0, 3909.0, 3959.0, 4811.0, 5359.0, 6422.0, 7040.0, 7043.0, 7058.0, 7474.0, 7784.0, 8728.0, 10082.0, 11096.0, 51162.0, 79875.0, 80781.0, 83854.0, 127435.0, 150356.0, 255631.0, 284297.0	3.213712314740795	Dentate Gyrus	0.08169014084507042
GO:0031012	CC	e	extracellular matrix	21/710	245/29107	7.376321121059703e-07	3	21	0.000611346859063272	1290.0, 1299.0, 2006.0, 2202.0, 7040.0, 7473.0, 7784.0, 10319.0, 11096.0, 11174.0, 63827.0, 80781.0, 114990.0, 116135.0, 129080.0, 150356.0, 169611.0, 255631.0, 283310.0, 284297.0, 645191.0	3.213712314740795	Dentate Gyrus	0.059154929577464786
GO:0005604	CC	e	basement membrane	12/710	85/29107	1.046229650422029e-06	5	12	0.000611346859063272	1299.0, 2254.0, 3909.0, 4811.0, 5764.0, 7058.0, 9423.0, 10319.0, 64093.0, 80781.0, 285613.0, 375567.0	3.213712314740795	Dentate Gyrus	0.03380281690140845
GO:0098978	CC	e	glutamatergic synapse	24/710	332/29107	2.59723057337775e-06	4	24	0.000968022488680931	114.0, 613.0, 1020.0, 1978.0, 2890.0, 2894.0, 4885.0, 5332.0, 5800.0, 6456.0, 7474.0, 9127.0, 9229.0, 10082.0, 10109.0, 10160.0, 10718.0, 27253.0, 63827.0, 80852.0, 84152.0, 84435.0, 94030.0, 146395.0	3.0141145532323246	Dentate Gyrus	0.0676056338028169
GO:0046872	MF	e	metal ion binding	99/710	2297/29107	2.751269514552623e-06	4	99	0.01216061125432259	105.0, 114.0, 369.0, 658.0, 1290.0, 1329.0, 2138.0, 3655.0, 3680.0, 4493.0, 4501.0, 4502.0, 4638.0, 4885.0, 4905.0, 4939.0, 5152.0, 5153.0, 5588.0, 6239.0, 7410.0, 7546.0, 7571.0, 7737.0, 8187.0, 8728.0, 8908.0, 8912.0, 9189.0, 9254.0, 9260.0, 9369.0, 9891.0, 10320.0, 10365.0, 10404.0, 10420.0, 10611.0, 10846.0, 11174.0, 11278.0, 11320.0, 23090.0, 23324.0, 26290.0, 26301.0, 26468.0, 26524.0, 27115.0, 27132.0, 50940.0, 51094.0, 51196.0, 51545.0, 54753.0, 55079.0, 55107.0, 55520.0, 55621.0, 55892.0, 57571.0, 57616.0, 58492.0, 58499.0, 64170.0, 64241.0, 64919.0, 79814.0, 80110.0, 80139.0, 80781.0, 83593.0, 83719.0, 84217.0, 84448.0, 84662.0, 85377.0, 92312.0, 126068.0, 129293.0, 130557.0, 137902.0, 140883.0, 144402.0, 148979.0, 152273.0, 152485.0, 154214.0, 160760.0, 162993.0, 163033.0, 170958.0, 170959.0, 221527.0, 283209.0, 284996.0, 342892.0, 348327.0, 441250.0	1.915044594659712	Dentate Gyrus	0.27887323943661974
GO:0030027	CC	e	lamellipodium	17/710	185/29107	3.234796699425417e-06	4	17	0.000968022488680931	1020.0, 2054.0, 2191.0, 4163.0, 4638.0, 4810.0, 5420.0, 5800.0, 5872.0, 5881.0, 10109.0, 10519.0, 11344.0, 23129.0, 51196.0, 57175.0, 152273.0	3.0141145532323246	Dentate Gyrus	0.04788732394366197
GO:0005886	CC	e	plasma membrane	185/710	4487/29107	3.313254382250762e-06	3	185	0.000968022488680931	114.0, 334.0, 658.0, 684.0, 721.0, 762.0, 950.0, 960.0, 975.0, 1016.0, 1020.0, 1132.0, 1139.0, 1212.0, 1804.0, 1956.0, 2046.0, 2054.0, 2064.0, 2152.0, 2191.0, 2565.0, 2567.0, 2571.0, 2622.0, 2690.0, 2697.0, 2890.0, 2894.0, 2918.0, 3363.0, 3603.0, 3632.0, 3643.0, 3655.0, 3680.0, 3754.0, 3768.0, 4163.0, 4282.0, 4638.0, 4643.0, 4811.0, 4905.0, 5152.0, 5359.0, 5420.0, 5588.0, 5754.0, 5764.0, 5800.0, 5872.0, 5881.0, 5923.0, 6004.0, 6422.0, 6456.0, 6536.0, 6861.0, 7040.0, 7043.0, 7225.0, 7410.0, 7431.0, 7473.0, 7474.0, 7784.0, 8323.0, 8590.0, 8613.0, 8728.0, 8744.0, 8776.0, 9037.0, 9079.0, 9127.0, 9132.0, 9194.0, 9196.0, 9229.0, 9254.0, 9308.0, 9311.0, 9342.0, 9369.0, 9390.0, 9429.0, 9516.0, 9628.0, 9873.0, 10082.0, 10123.0, 10125.0, 10203.0, 10252.0, 10267.0, 10287.0, 10384.0, 10495.0, 10519.0, 10867.0, 11145.0, 11255.0, 11315.0, 11337.0, 22918.0, 22987.0, 23129.0, 23209.0, 23251.0, 23418.0, 25861.0, 25945.0, 26050.0, 26119.0, 27124.0, 27132.0, 27242.0, 29082.0, 50801.0, 50831.0, 51094.0, 51196.0, 51232.0, 51293.0, 53833.0, 54734.0, 54795.0, 54874.0, 55107.0, 55504.0, 55959.0, 56288.0, 56479.0, 56659.0, 56963.0, 57172.0, 57175.0, 57512.0, 57616.0, 57709.0, 57828.0, 58191.0, 59338.0, 64065.0, 64123.0, 64130.0, 64170.0, 64241.0, 79837.0, 79971.0, 80115.0, 80852.0, 81575.0, 81796.0, 83858.0, 84435.0, 84812.0, 84888.0, 85450.0, 90527.0, 94030.0, 114990.0, 121665.0, 122786.0, 124446.0, 126969.0, 128434.0, 130132.0, 144402.0, 146395.0, 147495.0, 152273.0, 221935.0, 221981.0, 254778.0, 256987.0, 283659.0, 284656.0, 285613.0, 326624.0, 347902.0, 375704.0, 389668.0, 400451.0	3.0141145532323246	Dentate Gyrus	0.5211267605633803
GO:0043410	BP	e	positive regulation of MAPK cascade	15/710	148/29107	3.64896927498814e-06	8	15	0.02286104861041946	242.0, 650.0, 975.0, 1139.0, 2046.0, 2064.0, 2247.0, 2254.0, 3643.0, 5154.0, 6657.0, 8558.0, 51196.0, 56005.0, 57161.0	1.640903852887622	Dentate Gyrus	0.04225352112676056
GO:0007165	BP	e	signal transduction	52/710	1063/29107	3.678662581127919e-06	4	52	0.02286104861041946	114.0, 613.0, 1132.0, 1139.0, 1956.0, 2054.0, 2064.0, 2247.0, 2254.0, 2257.0, 2565.0, 2567.0, 2697.0, 2890.0, 3476.0, 3603.0, 3705.0, 3707.0, 3959.0, 4163.0, 5152.0, 5153.0, 5609.0, 5754.0, 5923.0, 6456.0, 6696.0, 7188.0, 7410.0, 7784.0, 8590.0, 8613.0, 8744.0, 9127.0, 9308.0, 9311.0, 10125.0, 10846.0, 27115.0, 50940.0, 51293.0, 53342.0, 54874.0, 57569.0, 58191.0, 79990.0, 83478.0, 83593.0, 84152.0, 84435.0, 114900.0, 375704.0	1.640903852887622	Dentate Gyrus	0.14647887323943662
GO:0005515	MF	e	protein binding	401/710	12417/29107	5.565783025369899e-06	2	401	0.01230038048606748	39.0, 56.0, 183.0, 216.0, 230.0, 240.0, 334.0, 369.0, 585.0, 595.0, 596.0, 613.0, 637.0, 650.0, 658.0, 684.0, 694.0, 762.0, 865.0, 950.0, 957.0, 960.0, 975.0, 994.0, 1020.0, 1075.0, 1139.0, 1212.0, 1329.0, 1349.0, 1373.0, 1641.0, 1643.0, 1852.0, 1956.0, 1962.0, 1978.0, 1979.0, 1993.0, 1997.0, 2006.0, 2054.0, 2064.0, 2138.0, 2152.0, 2191.0, 2202.0, 2247.0, 2257.0, 2280.0, 2565.0, 2571.0, 2584.0, 2622.0, 2690.0, 2697.0, 2736.0, 2878.0, 2890.0, 3014.0, 3065.0, 3070.0, 3083.0, 3241.0, 3363.0, 3400.0, 3476.0, 3632.0, 3643.0, 3655.0, 3707.0, 3754.0, 3768.0, 3959.0, 4047.0, 4163.0, 4282.0, 4336.0, 4493.0, 4501.0, 4502.0, 4604.0, 4638.0, 4643.0, 4692.0, 4702.0, 4736.0, 4772.0, 4794.0, 4798.0, 4808.0, 4809.0, 4814.0, 4885.0, 4905.0, 4939.0, 5152.0, 5153.0, 5154.0, 5332.0, 5359.0, 5409.0, 5414.0, 5420.0, 5439.0, 5502.0, 5522.0, 5588.0, 5609.0, 5699.0, 5744.0, 5754.0, 5764.0, 5800.0, 5872.0, 5881.0, 6004.0, 6094.0, 6201.0, 6204.0, 6422.0, 6433.0, 6449.0, 6456.0, 6491.0, 6603.0, 6657.0, 6663.0, 6696.0, 6713.0, 7040.0, 7043.0, 7058.0, 7127.0, 7188.0, 7225.0, 7347.0, 7410.0, 7431.0, 7453.0, 7473.0, 7474.0, 7571.0, 7737.0, 7784.0, 8187.0, 8218.0, 8323.0, 8340.0, 8365.0, 8424.0, 8558.0, 8613.0, 8728.0, 8912.0, 9001.0, 9079.0, 9111.0, 9114.0, 9132.0, 9189.0, 9194.0, 9196.0, 9229.0, 9260.0, 9308.0, 9325.0, 9342.0, 9413.0, 9423.0, 9429.0, 9473.0, 9516.0, 9628.0, 9695.0, 9729.0, 9805.0, 9873.0, 9891.0, 10049.0, 10082.0, 10105.0, 10109.0, 10123.0, 10160.0, 10203.0, 10227.0, 10252.0, 10267.0, 10272.0, 10287.0, 10320.0, 10365.0, 10420.0, 10519.0, 10611.0, 10721.0, 10826.0, 11096.0, 11145.0, 11278.0, 11315.0, 11337.0, 11344.0, 22900.0, 22918.0, 22987.0, 23090.0, 23129.0, 23209.0, 23251.0, 23314.0, 23324.0, 23418.0, 25822.0, 25840.0, 25861.0, 25945.0, 25959.0, 26050.0, 26119.0, 26232.0, 26353.0, 26355.0, 26468.0, 26524.0, 27124.0, 27132.0, 27242.0, 27253.0, 28955.0, 28959.0, 28992.0, 29082.0, 29893.0, 51094.0, 51141.0, 51155.0, 51162.0, 51172.0, 51196.0, 51265.0, 51282.0, 51286.0, 51293.0, 51363.0, 51409.0, 51545.0, 51659.0, 51805.0, 53833.0, 54463.0, 54734.0, 54795.0, 54855.0, 54874.0, 54987.0, 55022.0, 55039.0, 55107.0, 55328.0, 55342.0, 55504.0, 55515.0, 55544.0, 55553.0, 55621.0, 55732.0, 55818.0, 55892.0, 55969.0, 55998.0, 56005.0, 56288.0, 56479.0, 56675.0, 56963.0, 57161.0, 57172.0, 57175.0, 57471.0, 57616.0, 57707.0, 57709.0, 57819.0, 58492.0, 58499.0, 59338.0, 63827.0, 63922.0, 64065.0, 64093.0, 64130.0, 64170.0, 64241.0, 64784.0, 64919.0, 65997.0, 78996.0, 79132.0, 79161.0, 79635.0, 79722.0, 79770.0, 79803.0, 79837.0, 79953.0, 79971.0, 80110.0, 80139.0, 80346.0, 80381.0, 80854.0, 81603.0, 81622.0, 81932.0, 83478.0, 83593.0, 84152.0, 84217.0, 84340.0, 84532.0, 84548.0, 84662.0, 84678.0, 84795.0, 84812.0, 84867.0, 84888.0, 85377.0, 85450.0, 90550.0, 91612.0, 114876.0, 114884.0, 114900.0, 114990.0, 116135.0, 116448.0, 116540.0, 121256.0, 121665.0, 122786.0, 123283.0, 124446.0, 126068.0, 126969.0, 128434.0, 128486.0, 128497.0, 129530.0, 130132.0, 130557.0, 130827.0, 131583.0, 132158.0, 132321.0, 134359.0, 144402.0, 146395.0, 147495.0, 148979.0, 150082.0, 152273.0, 152485.0, 152559.0, 154043.0, 157753.0, 160760.0, 162993.0, 167410.0, 170302.0, 203286.0, 219738.0, 220004.0, 220388.0, 221150.0, 221527.0, 221981.0, 246184.0, 252839.0, 254427.0, 254778.0, 255631.0, 283310.0, 283578.0, 284297.0, 284403.0, 284656.0, 285613.0, 326624.0, 326625.0, 339665.0, 340156.0, 342977.0, 347902.0, 374654.0, 375567.0, 402682.0, 441250.0, 751071.0	1.9100814543781792	Dentate Gyrus	1.1295774647887324
GO:0000149	MF	e	SNARE binding	10/602	64/29107	7.380632150276591e-07	3	10	0.003262239410422253	6810.0, 6812.0, 8675.0, 9066.0, 9892.0, 84079.0, 84258.0, 112755.0, 127833.0, 148281.0	2.486484169963451	DLPFC	0.03322259136212625
GO:0030424	CC	e	axon	22/602	318/29107	9.683049978132252e-07	5	22	0.001340957383546025	478.0, 547.0, 1270.0, 1630.0, 1982.0, 1996.0, 2566.0, 2932.0, 3745.0, 4130.0, 4131.0, 4744.0, 6812.0, 8408.0, 8567.0, 23057.0, 55238.0, 57449.0, 79969.0, 112755.0, 127833.0, 285175.0	2.872585024075989	DLPFC	0.07308970099667775
GO:0048471	CC	e	perinuclear region of cytoplasm	35/602	713/29107	2.967955080365937e-06	2	35	0.001340957383546025	488.0, 547.0, 2040.0, 3985.0, 3987.0, 4131.0, 4478.0, 4735.0, 5295.0, 5905.0, 6272.0, 6376.0, 6548.0, 6810.0, 6812.0, 8675.0, 8862.0, 8867.0, 9099.0, 9919.0, 10128.0, 23369.0, 26471.0, 26999.0, 54472.0, 55128.0, 55755.0, 57414.0, 57449.0, 57572.0, 79156.0, 84630.0, 84944.0, 129685.0, 202333.0	2.872585024075989	DLPFC	0.11627906976744186
