GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	Direction_of_Effect
GO:0005525	MF	e	GTP binding	56/2249	373/29107	3.434212509916992e-06	8	56	0.002954159336581287	378.0, 1612.0, 1968.0, 2778.0, 2909.0, 2935.0, 2982.0, 4218.0, 4599.0, 4600.0, 4881.0, 4882.0, 5861.0, 5865.0, 5878.0, 5899.0, 5908.0, 6447.0, 7052.0, 7280.0, 7818.0, 8790.0, 9077.0, 9364.0, 9927.0, 10981.0, 11031.0, 11159.0, 22808.0, 22931.0, 23221.0, 23433.0, 23551.0, 27175.0, 29925.0, 50808.0, 51199.0, 51285.0, 51762.0, 54974.0, 54988.0, 55303.0, 55340.0, 57826.0, 64121.0, 64901.0, 84100.0, 84340.0, 84617.0, 84705.0, 84790.0, 85865.0, 116987.0, 161253.0, 282808.0, 387496.0	2.529566084131783	Caudate	All
GO:0007165	BP	e	signal transduction	136/2249	1063/29107	3.452417808865543e-06	4	136	0.01072752523659746	91.0, 114.0, 148.0, 157.0, 258.0, 268.0, 307.0, 355.0, 367.0, 613.0, 944.0, 947.0, 952.0, 1138.0, 1388.0, 1399.0, 1441.0, 1793.0, 2004.0, 2057.0, 2065.0, 2132.0, 2246.0, 2359.0, 2665.0, 2671.0, 2787.0, 2868.0, 2909.0, 3146.0, 3359.0, 3487.0, 3568.0, 3576.0, 3594.0, 3635.0, 3702.0, 3706.0, 4067.0, 4233.0, 4599.0, 4881.0, 4882.0, 4969.0, 5023.0, 5136.0, 5137.0, 5138.0, 5175.0, 5293.0, 5527.0, 5583.0, 5592.0, 5598.0, 5613.0, 5797.0, 5829.0, 5899.0, 5921.0, 5979.0, 6093.0, 6259.0, 6282.0, 6300.0, 6374.0, 6387.0, 6452.0, 6654.0, 6693.0, 6717.0, 6769.0, 7060.0, 7186.0, 7296.0, 7424.0, 7434.0, 8001.0, 8045.0, 8174.0, 8437.0, 8611.0, 8741.0, 8826.0, 8840.0, 8856.0, 8911.0, 8995.0, 8999.0, 9051.0, 9135.0, 9578.0, 9637.0, 9863.0, 10000.0, 10010.0, 10144.0, 10175.0, 10235.0, 10333.0, 10446.0, 10457.0, 10486.0, 10526.0, 10527.0, 10666.0, 10752.0, 11027.0, 11059.0, 11197.0, 23421.0, 23601.0, 23603.0, 26585.0, 51192.0, 51285.0, 51816.0, 54084.0, 57447.0, 58504.0, 59307.0, 64333.0, 64780.0, 79658.0, 80274.0, 84707.0, 85415.0, 94134.0, 116985.0, 201176.0, 221074.0, 283349.0, 286077.0, 344657.0, 348094.0, 375790.0, 644815.0	1.9695004551125008	Caudate	All
GO:0005783	CC	e	endoplasmic reticulum	134/2249	1040/29107	3.569552670205379e-06	5	134	0.0008886197108004352	341.0, 347.0, 362.0, 821.0, 824.0, 831.0, 1384.0, 1717.0, 2010.0, 2040.0, 2132.0, 2218.0, 2261.0, 2264.0, 2322.0, 2861.0, 3107.0, 3134.0, 3140.0, 3293.0, 3460.0, 4036.0, 4040.0, 4257.0, 4923.0, 4938.0, 4988.0, 5045.0, 5130.0, 5138.0, 5283.0, 5578.0, 5861.0, 6134.0, 6188.0, 6342.0, 6610.0, 6646.0, 7052.0, 7060.0, 7095.0, 7466.0, 8029.0, 8372.0, 8459.0, 8516.0, 8692.0, 8760.0, 8878.0, 9117.0, 9365.0, 10130.0, 10347.0, 10351.0, 10439.0, 10463.0, 10483.0, 10558.0, 10613.0, 10652.0, 10668.0, 10749.0, 10841.0, 10956.0, 10981.0, 11001.0, 11261.0, 23392.0, 23463.0, 23509.0, 23585.0, 23770.0, 25825.0, 25870.0, 27230.0, 27348.0, 29800.0, 29940.0, 29954.0, 29979.0, 51167.0, 51201.0, 51246.0, 51257.0, 51594.0, 51703.0, 53905.0, 54499.0, 54511.0, 54867.0, 54982.0, 55325.0, 56005.0, 56147.0, 56246.0, 56605.0, 57110.0, 57222.0, 57531.0, 60481.0, 64714.0, 64848.0, 79087.0, 79844.0, 79947.0, 79993.0, 80235.0, 80328.0, 81671.0, 83440.0, 83787.0, 83857.0, 84536.0, 84650.0, 94101.0, 112609.0, 115817.0, 126129.0, 144245.0, 144811.0, 147138.0, 161291.0, 195814.0, 197021.0, 204219.0, 206358.0, 219970.0, 253558.0, 284129.0, 285362.0, 389075.0, 401494.0, 439921.0, 497661.0	3.0512840577427705	Caudate	All
GO:0005739	CC	e	mitochondrion	179/2249	1305/29107	3.595485351710626e-06	5	179	0.0008886197108004352	411.0, 501.0, 670.0, 842.0, 1159.0, 1160.0, 1340.0, 1371.0, 1384.0, 2004.0, 2040.0, 2232.0, 2537.0, 2646.0, 2671.0, 2710.0, 2752.0, 3098.0, 3429.0, 3978.0, 4128.0, 4257.0, 4329.0, 4482.0, 4521.0, 4704.0, 4713.0, 4722.0, 4724.0, 4731.0, 4833.0, 4923.0, 4938.0, 5096.0, 5160.0, 5300.0, 5366.0, 5521.0, 5578.0, 5625.0, 5997.0, 6150.0, 6300.0, 6342.0, 6389.0, 6391.0, 6622.0, 6717.0, 7019.0, 7052.0, 7054.0, 7263.0, 7296.0, 7818.0, 8165.0, 8192.0, 8209.0, 8546.0, 8774.0, 8878.0, 8996.0, 9054.0, 9801.0, 9804.0, 9812.0, 9823.0, 9868.0, 9927.0, 9941.0, 9997.0, 10102.0, 10131.0, 10247.0, 10588.0, 10652.0, 10667.0, 10730.0, 10863.0, 10901.0, 10981.0, 23395.0, 23408.0, 23530.0, 23593.0, 23600.0, 23770.0, 23786.0, 23788.0, 25959.0, 26517.0, 26995.0, 27249.0, 27349.0, 29093.0, 29960.0, 50640.0, 50808.0, 51075.0, 51295.0, 51312.0, 51657.0, 51703.0, 51741.0, 54543.0, 54802.0, 54974.0, 54996.0, 54998.0, 55127.0, 55149.0, 55210.0, 55268.0, 55316.0, 55471.0, 55687.0, 55744.0, 55753.0, 55760.0, 55812.0, 55863.0, 56181.0, 56624.0, 56922.0, 56942.0, 57110.0, 57128.0, 57129.0, 57176.0, 57505.0, 57546.0, 58472.0, 60491.0, 60528.0, 63933.0, 64127.0, 64978.0, 79611.0, 79731.0, 79810.0, 80142.0, 80179.0, 80224.0, 83787.0, 84269.0, 84303.0, 84334.0, 84340.0, 84705.0, 84881.0, 85865.0, 93587.0, 93974.0, 94097.0, 113451.0, 114971.0, 115286.0, 116447.0, 124454.0, 126129.0, 126789.0, 130916.0, 132001.0, 137872.0, 151393.0, 171425.0, 219293.0, 219402.0, 219970.0, 255027.0, 255189.0, 256643.0, 282808.0, 283459.0, 284106.0, 285489.0, 373156.0, 728294.0, 100287932.0, 102724023.0	3.0512840577427705	Caudate	All
GO:0005524	MF	e	ATP binding	190/2249	1458/29107	4.292219941368601e-06	8	190	0.002954159336581287	31.0, 58.0, 91.0, 92.0, 107.0, 114.0, 157.0, 368.0, 537.0, 613.0, 817.0, 1159.0, 1160.0, 1183.0, 1612.0, 1663.0, 1769.0, 1981.0, 2038.0, 2046.0, 2065.0, 2261.0, 2264.0, 2322.0, 2444.0, 2475.0, 2710.0, 2752.0, 2868.0, 3098.0, 3702.0, 3706.0, 3758.0, 3795.0, 3799.0, 3978.0, 4067.0, 4139.0, 4172.0, 4174.0, 4233.0, 4296.0, 4436.0, 4645.0, 4647.0, 4671.0, 4752.0, 4833.0, 4881.0, 4882.0, 4938.0, 4940.0, 5023.0, 5096.0, 5129.0, 5210.0, 5289.0, 5293.0, 5578.0, 5583.0, 5592.0, 5598.0, 5600.0, 5613.0, 5702.0, 5747.0, 5973.0, 5979.0, 6093.0, 6259.0, 6300.0, 6584.0, 7320.0, 7332.0, 7443.0, 7520.0, 7525.0, 8195.0, 8317.0, 8449.0, 8458.0, 8621.0, 8632.0, 8986.0, 8999.0, 9263.0, 9401.0, 9578.0, 9585.0, 9748.0, 9785.0, 9917.0, 10000.0, 10060.0, 10114.0, 10131.0, 10347.0, 10351.0, 10588.0, 10667.0, 10693.0, 10730.0, 10749.0, 11001.0, 22861.0, 23020.0, 23075.0, 23093.0, 23113.0, 23170.0, 23395.0, 23405.0, 23460.0, 23604.0, 23729.0, 25778.0, 25809.0, 25865.0, 25989.0, 26153.0, 27348.0, 28996.0, 29028.0, 30849.0, 50640.0, 50808.0, 51231.0, 51465.0, 51703.0, 53904.0, 54802.0, 54974.0, 54981.0, 54986.0, 54988.0, 55149.0, 55191.0, 55210.0, 55224.0, 55636.0, 55681.0, 55687.0, 55760.0, 55781.0, 56155.0, 56164.0, 56171.0, 56922.0, 57176.0, 57505.0, 57519.0, 57761.0, 63826.0, 63979.0, 64005.0, 64127.0, 64848.0, 79611.0, 79731.0, 79781.0, 79784.0, 80179.0, 80222.0, 80224.0, 83549.0, 84284.0, 84930.0, 89795.0, 90990.0, 91351.0, 91646.0, 113220.0, 113510.0, 124454.0, 124602.0, 127602.0, 140803.0, 146057.0, 148229.0, 150094.0, 166614.0, 196883.0, 197258.0, 219293.0, 221458.0, 283459.0, 284076.0, 317781.0, 414328.0, 653857.0	2.529566084131783	Caudate	All
GO:0042802	MF	e	identical protein binding	188/2249	1494/29107	4.3872381312232e-06	3	188	0.002954159336581287	31.0, 146.0, 177.0, 191.0, 307.0, 321.0, 355.0, 358.0, 362.0, 443.0, 567.0, 599.0, 817.0, 949.0, 952.0, 1000.0, 1075.0, 1399.0, 1415.0, 1495.0, 1612.0, 1674.0, 1725.0, 1728.0, 1798.0, 1815.0, 1981.0, 2027.0, 2040.0, 2057.0, 2065.0, 2261.0, 2277.0, 2475.0, 2512.0, 2752.0, 2885.0, 2947.0, 3082.0, 3248.0, 3299.0, 3356.0, 3429.0, 3690.0, 3759.0, 3799.0, 4040.0, 4085.0, 4188.0, 4193.0, 4233.0, 4257.0, 4296.0, 4303.0, 4599.0, 4647.0, 4779.0, 4860.0, 4882.0, 4923.0, 5023.0, 5130.0, 5224.0, 5635.0, 5702.0, 5723.0, 5797.0, 5973.0, 6091.0, 6223.0, 6262.0, 6285.0, 6374.0, 6606.0, 6622.0, 6642.0, 6652.0, 6772.0, 7052.0, 7099.0, 7126.0, 7168.0, 7174.0, 7185.0, 7186.0, 7264.0, 7358.0, 7375.0, 7399.0, 7423.0, 7439.0, 7681.0, 8192.0, 8665.0, 8878.0, 8995.0, 8996.0, 9025.0, 9051.0, 9071.0, 9463.0, 9618.0, 9748.0, 9852.0, 9935.0, 10036.0, 10247.0, 10333.0, 10361.0, 10486.0, 10901.0, 10951.0, 22977.0, 23020.0, 23204.0, 23549.0, 23604.0, 23770.0, 25814.0, 25870.0, 27348.0, 29109.0, 29899.0, 29979.0, 50944.0, 51074.0, 51075.0, 51148.0, 51171.0, 51181.0, 51562.0, 53339.0, 53834.0, 54887.0, 54925.0, 54974.0, 55007.0, 55149.0, 55503.0, 55607.0, 55617.0, 55646.0, 55835.0, 56128.0, 56246.0, 56262.0, 56893.0, 57407.0, 57820.0, 58490.0, 60491.0, 63826.0, 64750.0, 79054.0, 79834.0, 79901.0, 80274.0, 80321.0, 80741.0, 83892.0, 84063.0, 84105.0, 84283.0, 84456.0, 84680.0, 85007.0, 85363.0, 93974.0, 112483.0, 112609.0, 113675.0, 119391.0, 126375.0, 128866.0, 129401.0, 135114.0, 137075.0, 196051.0, 200958.0, 202243.0, 222236.0, 283349.0, 285362.0, 285753.0, 339488.0, 345643.0, 388512.0, 493829.0	2.529566084131783	Caudate	All
GO:0007155	BP	e	cell adhesion	68/2249	488/29107	4.60450220209533e-06	2	68	0.01144587157396857	100.0, 176.0, 258.0, 563.0, 976.0, 1000.0, 1272.0, 1293.0, 1441.0, 1495.0, 1499.0, 1824.0, 2046.0, 2195.0, 3688.0, 3690.0, 3908.0, 3912.0, 3915.0, 3960.0, 4239.0, 4868.0, 5097.0, 5578.0, 5613.0, 5649.0, 5829.0, 5961.0, 6091.0, 6387.0, 8174.0, 8754.0, 8828.0, 8840.0, 9051.0, 9071.0, 9289.0, 10446.0, 10457.0, 10666.0, 10752.0, 22915.0, 23421.0, 25865.0, 26032.0, 27255.0, 27328.0, 30817.0, 50856.0, 50863.0, 51148.0, 54587.0, 55109.0, 56102.0, 56109.0, 56128.0, 56147.0, 57007.0, 57091.0, 84063.0, 117178.0, 131873.0, 137075.0, 196264.0, 253559.0, 256076.0, 340267.0, 341640.0	1.9413511313115792	Caudate	All
GO:0046872	MF	e	metal ion binding	256/2249	2297/29107	4.862579855866237e-06	4	256	0.002954159336581287	31.0, 91.0, 92.0, 102.0, 107.0, 114.0, 176.0, 249.0, 280.0, 330.0, 411.0, 414.0, 443.0, 781.0, 1124.0, 1297.0, 1301.0, 1302.0, 1466.0, 1534.0, 1663.0, 1798.0, 1806.0, 1815.0, 2021.0, 2110.0, 2132.0, 2778.0, 2799.0, 3486.0, 3655.0, 3669.0, 3688.0, 3702.0, 3792.0, 3978.0, 4494.0, 4495.0, 4521.0, 4671.0, 4752.0, 4833.0, 4843.0, 4907.0, 4938.0, 4940.0, 5045.0, 5136.0, 5137.0, 5324.0, 5446.0, 5516.0, 5533.0, 5583.0, 5649.0, 5742.0, 5829.0, 5980.0, 6093.0, 6167.0, 6391.0, 6507.0, 6610.0, 6769.0, 7375.0, 7553.0, 7564.0, 7581.0, 7633.0, 7652.0, 7681.0, 7691.0, 7718.0, 7762.0, 7769.0, 7772.0, 8001.0, 8226.0, 8303.0, 8317.0, 8437.0, 8462.0, 8516.0, 8543.0, 8544.0, 8748.0, 8751.0, 8754.0, 8828.0, 9014.0, 9054.0, 9310.0, 9331.0, 9355.0, 9463.0, 9831.0, 9917.0, 9924.0, 9925.0, 9941.0, 10003.0, 10010.0, 10156.0, 10172.0, 10229.0, 10572.0, 10588.0, 10668.0, 10730.0, 10739.0, 10780.0, 10863.0, 11244.0, 22869.0, 22885.0, 22888.0, 22999.0, 23099.0, 23113.0, 23300.0, 23355.0, 23405.0, 23522.0, 23527.0, 23536.0, 23770.0, 25865.0, 25870.0, 26145.0, 26147.0, 26152.0, 27107.0, 27295.0, 29116.0, 29940.0, 29954.0, 51167.0, 51317.0, 51668.0, 54511.0, 54807.0, 54925.0, 54981.0, 54988.0, 55124.0, 55316.0, 55503.0, 55552.0, 55644.0, 55646.0, 55748.0, 55753.0, 55781.0, 55786.0, 55790.0, 56302.0, 56922.0, 56931.0, 56978.0, 57546.0, 57593.0, 57615.0, 57616.0, 57820.0, 60528.0, 64780.0, 64789.0, 64854.0, 65251.0, 65986.0, 79149.0, 79175.0, 79258.0, 79364.0, 79673.0, 79778.0, 79817.0, 79882.0, 79901.0, 79943.0, 79947.0, 80144.0, 80224.0, 80777.0, 81035.0, 83440.0, 83444.0, 84100.0, 84268.0, 84527.0, 84622.0, 84671.0, 84735.0, 84874.0, 84954.0, 89846.0, 90338.0, 91419.0, 93134.0, 93589.0, 94121.0, 94122.0, 113835.0, 115209.0, 115560.0, 116225.0, 116983.0, 116985.0, 116987.0, 121274.0, 125893.0, 126375.0, 136051.0, 137872.0, 139735.0, 140803.0, 144402.0, 146050.0, 147687.0, 148206.0, 151313.0, 151742.0, 153642.0, 158326.0, 161823.0, 162966.0, 162968.0, 168391.0, 168544.0, 169841.0, 196883.0, 199221.0, 199777.0, 200035.0, 201164.0, 220002.0, 221687.0, 222696.0, 253639.0, 254295.0, 282890.0, 283209.0, 283337.0, 284106.0, 285268.0, 341350.0, 341640.0, 342132.0, 342908.0, 359948.0, 388512.0, 388523.0, 388536.0, 390928.0, 654254.0, 100293516.0	2.529566084131783	Caudate	All
GO:0070062	CC	e	extracellular exosome	280/2249	2169/29107	4.961365018566084e-06	6	280	0.0008886197108004352	58.0, 102.0, 107.0, 191.0, 249.0, 280.0, 307.0, 347.0, 353.0, 355.0, 358.0, 362.0, 378.0, 411.0, 486.0, 501.0, 537.0, 563.0, 567.0, 613.0, 754.0, 760.0, 781.0, 821.0, 824.0, 949.0, 952.0, 958.0, 966.0, 975.0, 976.0, 1075.0, 1272.0, 1293.0, 1378.0, 1499.0, 1663.0, 1674.0, 1824.0, 1968.0, 2027.0, 2037.0, 2040.0, 2059.0, 2132.0, 2195.0, 2444.0, 2495.0, 2512.0, 2665.0, 2710.0, 2752.0, 2778.0, 2784.0, 2786.0, 2787.0, 2799.0, 2885.0, 2947.0, 3040.0, 3073.0, 3107.0, 3127.0, 3133.0, 3248.0, 3250.0, 3339.0, 3688.0, 3690.0, 3692.0, 3698.0, 3732.0, 3795.0, 3852.0, 3912.0, 3915.0, 4036.0, 4057.0, 4067.0, 4072.0, 4218.0, 4249.0, 4311.0, 4482.0, 4645.0, 4703.0, 4736.0, 4860.0, 4868.0, 4907.0, 4969.0, 5045.0, 5049.0, 5175.0, 5224.0, 5226.0, 5274.0, 5336.0, 5393.0, 5446.0, 5578.0, 5583.0, 5641.0, 5689.0, 5693.0, 5708.0, 5742.0, 5768.0, 5786.0, 5789.0, 5795.0, 5800.0, 5861.0, 5865.0, 5878.0, 5899.0, 5908.0, 5918.0, 5950.0, 5973.0, 6051.0, 6122.0, 6155.0, 6158.0, 6188.0, 6191.0, 6203.0, 6207.0, 6208.0, 6222.0, 6223.0, 6231.0, 6234.0, 6282.0, 6387.0, 6451.0, 6517.0, 6520.0, 6540.0, 6557.0, 6584.0, 6611.0, 6652.0, 6693.0, 6697.0, 6717.0, 7052.0, 7060.0, 7103.0, 7264.0, 7280.0, 7295.0, 7296.0, 7348.0, 7358.0, 7473.0, 7525.0, 7917.0, 8029.0, 8345.0, 8350.0, 8352.0, 8359.0, 8363.0, 8365.0, 8366.0, 8367.0, 8499.0, 8611.0, 8741.0, 8751.0, 8754.0, 8774.0, 8826.0, 8857.0, 8878.0, 9045.0, 9289.0, 9296.0, 9362.0, 9365.0, 9578.0, 9687.0, 9696.0, 9748.0, 9868.0, 10015.0, 10095.0, 10109.0, 10130.0, 10247.0, 10402.0, 10627.0, 10752.0, 10791.0, 10841.0, 10875.0, 11001.0, 11043.0, 11059.0, 11060.0, 11098.0, 11140.0, 11167.0, 11190.0, 11261.0, 11280.0, 22949.0, 22977.0, 23318.0, 23405.0, 23433.0, 23593.0, 23743.0, 25796.0, 25797.0, 26986.0, 26994.0, 27044.0, 27348.0, 28970.0, 29028.0, 29800.0, 29952.0, 50628.0, 51084.0, 51181.0, 51606.0, 51762.0, 54039.0, 54414.0, 54587.0, 54825.0, 55020.0, 55276.0, 55748.0, 56155.0, 56624.0, 56954.0, 57402.0, 57447.0, 57535.0, 57826.0, 63979.0, 64005.0, 64518.0, 79017.0, 79026.0, 79784.0, 79901.0, 80336.0, 83690.0, 83872.0, 84100.0, 84418.0, 84433.0, 84617.0, 87769.0, 93587.0, 112483.0, 113220.0, 119391.0, 128866.0, 140576.0, 144402.0, 147138.0, 151742.0, 222236.0, 255743.0, 284129.0, 286204.0, 341640.0, 342372.0, 347862.0, 373156.0, 375790.0, 441531.0, 653689.0, 653857.0, 100037417.0	3.0512840577427705	Caudate	All
GO:0003723	MF	e	RNA binding	159/2249	1388/29107	5.346894726843959e-06	4	159	0.002954159336581287	190.0, 689.0, 821.0, 831.0, 1029.0, 1399.0, 1495.0, 1728.0, 1729.0, 1964.0, 1981.0, 1982.0, 2665.0, 2885.0, 2935.0, 2962.0, 3006.0, 3069.0, 3146.0, 3148.0, 3428.0, 3838.0, 4329.0, 4673.0, 4731.0, 4736.0, 5393.0, 5822.0, 6122.0, 6130.0, 6132.0, 6133.0, 6134.0, 6150.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6208.0, 6218.0, 6222.0, 6223.0, 6231.0, 6234.0, 6520.0, 6606.0, 6631.0, 6632.0, 6838.0, 7019.0, 7295.0, 7332.0, 7520.0, 7681.0, 7812.0, 7818.0, 8165.0, 8175.0, 8359.0, 8363.0, 8365.0, 8366.0, 8367.0, 8449.0, 8621.0, 8638.0, 8664.0, 8672.0, 8996.0, 9045.0, 9130.0, 9410.0, 9785.0, 9811.0, 10102.0, 10131.0, 10247.0, 10360.0, 10361.0, 10412.0, 10607.0, 10749.0, 10898.0, 11171.0, 22916.0, 22999.0, 23020.0, 23283.0, 23318.0, 23405.0, 23521.0, 23536.0, 23567.0, 25917.0, 26136.0, 26156.0, 26986.0, 26995.0, 27000.0, 27044.0, 27341.0, 27349.0, 29093.0, 51070.0, 51081.0, 51096.0, 51154.0, 51535.0, 51634.0, 54039.0, 54913.0, 55110.0, 55127.0, 55149.0, 55646.0, 55760.0, 55833.0, 56931.0, 57535.0, 57602.0, 57805.0, 60528.0, 64778.0, 64848.0, 65109.0, 65110.0, 79026.0, 79810.0, 79868.0, 79882.0, 80336.0, 81550.0, 83640.0, 84128.0, 84284.0, 84549.0, 84881.0, 84950.0, 85313.0, 85865.0, 91351.0, 93587.0, 113251.0, 115752.0, 117246.0, 118460.0, 126789.0, 140576.0, 144983.0, 148423.0, 201299.0, 317781.0, 400506.0, 100132406.0, 102724159.0	2.529566084131783	Caudate	All
