trait	candidate_genes	dataset
CD45RA- CD28- CD8+ AC	RPL34	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	AOAH	Orru_2013
CD45RA- CD28- CD8+ AC	ARHGAP24	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	AOAH	Orru_2013
CD45RA- CD28- CD8+ AC	ARHGAP24	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	AOAH	Orru_2013
CD45RA- CD28- CD8+ AC	ARHGAP24	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	RPL34	Orru_2013
CD45RA- CD28- CD8+ AC	AOAH	Orru_2013
CD45RA- CD28- CD8+ AC	HLA-DOB	Orru_2013
CD45RA- CD28- CD8+ AC	HLA-DOB	Orru_2013
CD45RA- CD28- CD8+ AC	AOAH	Orru_2013
CD39+ CD8+ %GP	C10orf61	Orru_2013
CD39+ CD8+ %GP	ENTPD1	Orru_2013
CD39+ CD8+ %GP	ALDH18A1	Orru_2013
CD39+ activated CD4+ Treg %P	ENTPD1	Orru_2013
CD39+ activated CD4+ Treg %P	ENTPD1	Orru_2013
naive (CD4+ CD8+) AC	CD4	Orru_2013
T lymphocyte AC	SH2B3	Orru_2013
NK %GP	SLFN12L	Orru_2013
NK %GP	CCL1	Orru_2013
CD69 in CD16hi NK cells	S1PR1	Patin_2018
CD16 in CD16hi NK cells	FCGR3A	Patin_2018
CD32 in basophils	FCGR2B	Patin_2018
CD62L in eosinophils	SELL	Patin_2018
CD8a in CD69+ CD16hi NK cells	CD8A	Patin_2018
CD8a+ CD56hi NK cells	ACOXL / BCL2L11	Patin_2018
HLA-DR in cDC3	HLA-DRA	Patin_2018
HLA-DR in cDC1	HLA-DRB1	Patin_2018
HLA-DR in pDC	HLA-DRB1	Patin_2018
CD24 in IgM+ marginal zone B cells	CD24	Patin_2018
CD203c in basophils	ENPP3	Patin_2018
CCR7 in CD4+ naïve T cells	TMEM8A	Patin_2018
FCεRI in eosinophils	ALOX15	Patin_2018
ratio of CD16 MFI in CD16hi and CD56hi NK cells	ACTL9	Patin_2018
CCR7 on naive CD8+ T cell	CCR7	Orru_2020
CD127 on CD28+ CD45RA+ CD8+ T cell	PGAP6	Orru_2020
CD45 on CD14+ monocyte	HBG2	Orru_2020
CD127 on CD45RA+ CD4+ T cell	IL7R	Orru_2020
CD127 on CD45RA+ CD4+ T cell	PGAP6	Orru_2020
CD25 on CD45RA- CD4 not regulatory T cell	TBX20	Orru_2020
CD45 on HLA DR+ T cell	CIITA	Orru_2020
CD25 on CD45RA- CD4 not regulatory T cell	IL2RA	Orru_2020
CD45 on HLA DR+ CD4+ T cell	CIITA	Orru_2020
CD25 on CD39+ CD4 regulatory T cell	IL2RA	Orru_2020
CD127 on CD28+ CD4+ T cell	ZBTB37	Orru_2020
CD25 on resting CD4 regulatory T cell	IL2RA	Orru_2020
CD25 on CD39+ activated CD4 regulatory T cell	ENTPD1	Orru_2020
CD25 on secreting CD4 regulatory T cell	IL2RA	Orru_2020
CD127 on granulocyte	CDK6	Orru_2020
CD127 on granulocyte	TSPOAP1	Orru_2020
CD127 on CD28+ CD45RA+ CD8+ T cell	HECW1	Orru_2020
CCR7 on naive CD8+ T cell	PGAP6	Orru_2020
CD127 on CD4+ T cell	PGAP6	Orru_2020
CD45 on granulocyte	FCER1G	Orru_2020
CD25 on CD45RA- CD4 not regulatory T cell	JUP	Orru_2020
CD25 on CD39+ CD4 regulatory T cell	ENTPD1	Orru_2020
CD127 on CD28+ CD4+ T cell	PGAP6	Orru_2020
CD127 on CD28+ CD4-CD8- T cell	TSTD3	Orru_2020
CD25 on CD39+ activated CD4 regulatory T cell	IL2RA	Orru_2020
CD127 on granulocyte	MPO	Orru_2020
CD127 on granulocyte	MPO	Orru_2020
CD25 on CD39+ secreting CD4 regulatory T cell	IL2RA	Orru_2020
CD33 on basophil	GCSAML	Orru_2020
CD33 on basophil	CD33	Orru_2020
CD33 on Immature Myeloid-Derived Suppressor Cells	CD33	Orru_2020
CD33 on CD33+ HLA DR+	CD33	Orru_2020
CD33 on CD33+ HLA DR+ CD14-	CD33	Orru_2020
CD4 on monocyte	CD4	Orru_2020
CD4 on monocyte	DHX38	Orru_2020
CD25 on CD4+ T cell	IL2RA	Orru_2020
CD62L- myeloid Dendritic Cell Absolute Count	FCGR3A	Orru_2020
CD62L- myeloid Dendritic Cell %Dendritic Cell	C1orf112	Orru_2020
CD62L- myeloid Dendritic Cell %Dendritic Cell	FCGR3A	Orru_2020
T/B cell	GSDMA	Orru_2020
CD62L- CD86+ myeloid Dendritic Cell Absolute Count	FCGR3A	Orru_2020
CD4+ T cell Absolute Count	ATXN2	Orru_2020
CD4+CD8+ T cell Absolute Count	ZDHHC13	Orru_2020
CD4+CD8+ T cell Absolute Count	CD4	Orru_2020
CD4+CD8+ T cell %T cell	CD4	Orru_2020
CD8dim T cell Absolute Count	SLFN12L	Orru_2020
CD25 on CD39+ CD4+ T cell	TCTN3	Orru_2020
CD25 on CD39+ CD4+ T cell	ENTPD1-AS1	Orru_2020
CD25 on CD28+ CD4+ T cell	IL2RA	Orru_2020
FSC-A on myeloid Dendritic Cell	FCGR3A	Orru_2020
FSC-A on plasmacytoid Dendritic Cell	ERN1	Orru_2020
FSC-A on plasmacytoid Dendritic Cell	ERN1	Orru_2020
FSC-A on monocyte	LYZ	Orru_2020
FSC-A on granulocyte	CDK6	Orru_2020
FSC-A on CD14+ monocyte	HBB	Orru_2020
FSC-A on Natural Killer	SLFN12L	Orru_2020
FSC-A on Natural Killer	FAM53B	Orru_2020
FSC-A on Natural Killer	HBB	Orru_2020
FSC-A on HLA DR+ Natural Killer	LINC02572	Orru_2020
FSC-A on HLA DR+ Natural Killer	FCGR2A	Orru_2020
FSC-A on Natural Killer T	HBB	Orru_2020
CD62L- Dendritic Cell %Dendritic Cell	FCGR3A	Orru_2020
CD86+ myeloid Dendritic Cell Absolute Count	FCGR3A	Orru_2020
CD86+ myeloid Dendritic Cell %Dendritic Cell	FCGR3A	Orru_2020
CD86+ plasmacytoid Dendritic Cell %Dendritic Cell	RPS23P10	Orru_2020
CD62L- myeloid Dendritic Cell Absolute Count	C1orf112	Orru_2020
T/B cell	RAP1GAP2	Orru_2020
T/B cell	TNFSF13B	Orru_2020
CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell	FCGR3A	Orru_2020
CD4+ T cell %T cell	TSTD3	Orru_2020
CD16 on CD14- CD16+ monocyte	FCGR2A	Orru_2020
CD62L- monocyte Absolute Count	C1orf112	Orru_2020
CD62L- monocyte Absolute Count	B4GALT7	Orru_2020
CD62L- monocyte Absolute Count	FCGR3A	Orru_2020
CD62L- monocyte Absolute Count	SELL	Orru_2020
CD62L- monocyte %monocyte	STT3B	Orru_2020
CD62L- monocyte %monocyte	PRKD1	Orru_2020
CD62L- monocyte %monocyte	SELP	Orru_2020
CD62L- monocyte %monocyte	C1orf112	Orru_2020
CD62L- monocyte %monocyte	C1orf112	Orru_2020
CD11c+ CD62L- monocyte Absolute Count	FCGR3A	Orru_2020
CD11c+ HLA DR++ monocyte %monocyte	LPP	Orru_2020
Plasmacytoid Dendritic Cell Absolute Count	LCT-AS1	Orru_2020
Dendritic Cell Absolute Count	FCGR3A	Orru_2020
CD62L- Dendritic Cell Absolute Count	FCGR3A	Orru_2020
CD62L- Dendritic Cell %Dendritic Cell	C1orf112	Orru_2020
CD33 on CD14+ monocyte	CD33	Orru_2020
CD33 on CD14+ monocyte	CD33	Orru_2020
CD33 on CD33+ HLA DR+ CD14dim	CD33	Orru_2020
CD33 on CD33dim HLA DR+ CD11b+	FCGR2A	Orru_2020
CD33 on CD33dim HLA DR+ CD11b+	CD33	Orru_2020
CD33 on CD33dim HLA DR+ CD11b-	FCGR2A	Orru_2020
CD33 on CD33dim HLA DR+ CD11b-	CD33	Orru_2020
CD33 on Granulocytic Myeloid-Derived Suppressor Cells	CD33	Orru_2020
CD33 on Granulocytic Myeloid-Derived Suppressor Cells	CD33	Orru_2020
CD33 on CD66b++ myeloid cell	CD33	Orru_2020
CD33 on Monocytic Myeloid-Derived Suppressor Cells	CD33	Orru_2020
CD33 on CD33dim HLA DR-	SIGLECL1	Orru_2020
CD33 on CD33dim HLA DR-	GCSAML	Orru_2020
CD8dim T cell Absolute Count	TSTD3	Orru_2020
CD8dim T cell %T cell	TSTD3	Orru_2020
CD4-CD8- T cell Absolute Count	SLFN12L	Orru_2020
CD4-CD8- T cell Absolute Count	TSTD3	Orru_2020
CD4-CD8- T cell Absolute Count	CD8A	Orru_2020
CD4-CD8- T cell %T cell	TSTD3	Orru_2020
CD4-CD8- T cell %T cell	CD8A	Orru_2020
Lymphocyte Absolute Count	ATXN2	Orru_2020
T cell Absolute Count	ATXN2	Orru_2020
T cell %lymphocyte	SLFN12L	Orru_2020
CD4+ T cell %leukocyte	TSTD3	Orru_2020
CD4+CD8+ T cell %leukocyte	CD4	Orru_2020
CD4+ CD8dim T cell Absolute Count	CD8A	Orru_2020
CD4+ CD8dim T cell %lymphocyte	CD8A	Orru_2020
CD4+ CD8dim T cell %lymphocyte	CD8A	Orru_2020
CD4+ CD8dim T cell %leukocyte	CD8A	Orru_2020
Natural Killer T %lymphocyte	SLFN12L	Orru_2020
Natural Killer T %lymphocyte	PLEC	Orru_2020
Natural Killer T %lymphocyte	TSTD3	Orru_2020
HLA DR+ CD4+ T cell Absolute Count	DELEC1	Orru_2020
HLA DR+ CD4+ T cell Absolute Count	CIITA	Orru_2020
HLA DR+ CD4+ T cell %T cell	CIITA	Orru_2020
HLA DR+ CD4+ T cell %lymphocyte	DELEC1	Orru_2020
HLA DR+ CD4+ T cell %lymphocyte	CIITA	Orru_2020
HLA DR+ CD8+ T cell Absolute Count	DELEC1	Orru_2020
HLA DR+ CD8+ T cell Absolute Count	CIITA	Orru_2020
HLA DR+ CD8+ T cell %T cell	SLC35F2	Orru_2020
HLA DR+ CD8+ T cell %T cell	CIITA	Orru_2020
HLA DR+ CD8+ T cell %lymphocyte	HLA-DRB1	Orru_2020
HLA DR+ CD8+ T cell %lymphocyte	CIITA	Orru_2020
CD8dim Natural Killer T Absolute Count	SLFN12L	Orru_2020
CD8dim Natural Killer T Absolute Count	TSTD3	Orru_2020
CD8dim Natural Killer T %T cell	PARP10	Orru_2020
CD8dim T cell %leukocyte	TSTD3	Orru_2020
CD4-CD8- T cell %leukocyte	SLFN12L	Orru_2020
CD4-CD8- T cell %leukocyte	TSTD3	Orru_2020
CD4-CD8- T cell %leukocyte	CD8A	Orru_2020
CD8+ and CD8dim T cell %leukocyte	SLFN13	Orru_2020
HLA DR+ T cell Absolute Count	CIITA	Orru_2020
HLA DR+ T cell%T cell	DELEC1	Orru_2020
HLA DR+ T cell%T cell	CIITA	Orru_2020
HLA DR+ T cell%lymphocyte	DELEC1	Orru_2020
HLA DR+ T cell%lymphocyte	HLA-DRB1	Orru_2020
HLA DR+ T cell%lymphocyte	CIITA	Orru_2020
Natural Killer T Absolute Count	PLEC	Orru_2020
Natural Killer T Absolute Count	SLFN12L	Orru_2020
Natural Killer T Absolute Count	TSTD3	Orru_2020
Natural Killer T %T cell	PLEC	Orru_2020
Natural Killer T %T cell	TSTD3	Orru_2020
Memory B cell %B cell	DLEU2	Orru_2020
Memory B cell %B cell	NAT8	Orru_2020
Memory B cell Absolute Count	TNFSF13B	Orru_2020
Naive-mature B cell %B cell	NAT8	Orru_2020
Naive-mature B cell %B cell	DLEU2	Orru_2020
IgD+ CD24+ B cell %B cell	DLEU2	Orru_2020
IgD+ CD24+ B cell Absolute Count	DLEU2	Orru_2020
CD24+ CD27+ B cell %B cell	ALMS1	Orru_2020
CD24+ CD27+ B cell %B cell	DLEU2	Orru_2020
CD24+ CD27+ B cell Absolute Count	DLEU2	Orru_2020
CD24+ CD27+ B cell Absolute Count	TNFSF13B	Orru_2020
B cell %CD3- lymphocyte	TNFSF13B	Orru_2020
B cell %CD3- lymphocyte	SLFN12L	Orru_2020
B cell %lymphocyte	RAP1GAP2	Orru_2020
B cell %lymphocyte	TNFSF13B	Orru_2020
Natural Killer Absolute Count	CLIC4	Orru_2020
Natural Killer Absolute Count	SLFN12L	Orru_2020
Natural Killer %CD3- lymphocyte	CLIC4	Orru_2020
Natural Killer %CD3- lymphocyte	TNFSF13B	Orru_2020
Natural Killer %CD3- lymphocyte	SLFN12L	Orru_2020
Natural Killer %lymphocyte	SLFN12L	Orru_2020
Natural Killer %lymphocyte	CLIC4	Orru_2020
Natural Killer %lymphocyte	SLFN12L	Orru_2020
HLA DR+ Natural Killer Absolute Count	BCL2A1	Orru_2020
HLA DR+ Natural Killer Absolute Count	FCGR3A	Orru_2020
HLA DR+ Natural Killer %Natural Killer	SLFN12L	Orru_2020
HLA DR+ Natural Killer %Natural Killer	BCL2A1	Orru_2020
HLA DR+ Natural Killer  %CD3- lymphocyte	BCL2A1	Orru_2020
Granulocyte Absolute Count	ACKR1	Orru_2020
Granulocyte Absolute Count	S1PR4	Orru_2020
CD8dim Natural Killer T %T cell	TSTD3	Orru_2020
CD8dim Natural Killer T %lymphocyte	PARP10	Orru_2020
CD8dim Natural Killer T %lymphocyte	SLFN12L	Orru_2020
CD8dim Natural Killer T %lymphocyte	TSTD3	Orru_2020
CD4-CD8- Natural Killer T Absolute Count	SLFN12L	Orru_2020
CD4-CD8- Natural Killer T Absolute Count	CD8A	Orru_2020
CD4-CD8- Natural Killer T Absolute Count	TSTD3	Orru_2020
CD4-CD8- Natural Killer T %T cell	CD8A	Orru_2020
CD4-CD8- Natural Killer T %T cell	TSTD3	Orru_2020
CD4-CD8- Natural Killer T %lymphocyte	SLFN12L	Orru_2020
CD4-CD8- Natural Killer T %lymphocyte	CD8A	Orru_2020
CD4-CD8- Natural Killer T %lymphocyte	TSTD3	Orru_2020
CD3- lymphocyte %lymphocyte	SLFN12L	Orru_2020
CD3- lymphocyte %leukocyte	SLFN12L	Orru_2020
B cell Absolute Count	TNFSF13B	Orru_2020
IgD+ CD38+ B cell Absolute Count	MRPS9-AS2	Orru_2020
IgD+ CD38+ B cell Absolute Count	EBF1	Orru_2020
IgD+ CD38- B cell %B cell	PRKN	Orru_2020
IgD+ CD38- B cell Absolute Count	TNFSF13B	Orru_2020
Unswitched memory B cell %B cell	DLEU2	Orru_2020
Unswitched memory B cell Absolute Count	TNFSF13B	Orru_2020
IgD- CD27- B cell %B cell	CD27-AS1	Orru_2020
IgD- CD27- B cell %B cell	CMTM6	Orru_2020
IgD- CD27- B cell %B cell	CD40	Orru_2020
IgD+ B cell Absolute Count	TNFSF13B	Orru_2020
IgD- CD27- B cell Absolute Count	CD27-AS1	Orru_2020
IgD- CD27- B cell Absolute Count	CD40	Orru_2020
Switched memory B cell Absolute Count	TNFSF13B	Orru_2020
Plasma Blast-Plasma Cell %B cell	MSR1	Orru_2020
IgD+ CD24+ B cell %lymphocyte	TNFSF13B	Orru_2020
CD24+ CD27+ B cell %lymphocyte	RAP1GAP2	Orru_2020
CD24+ CD27+ B cell %lymphocyte	DLEU2	Orru_2020
CD24+ CD27+ B cell %lymphocyte	TNFSF13B	Orru_2020
IgD+ CD38+ B cell %B cell	CD38	Orru_2020
CD4 regulatory T cell %CD4+ T cell	RBM17	Orru_2020
CD4 regulatory T cell %T cell	RBM17	Orru_2020
Resting CD4 regulatory T cell Absolute Count	HNRNPLL	Orru_2020
Resting CD4 regulatory T cell Absolute Count	GALM	Orru_2020
Resting CD4 regulatory T cell Absolute Count	GALM	Orru_2020
Resting CD4 regulatory T cell %CD4 regulatory T cell	LAX1	Orru_2020
Resting CD4 regulatory T cell %CD4 regulatory T cell	HNRNPLL	Orru_2020
Resting CD4 regulatory T cell %CD4 regulatory T cell	GALM	Orru_2020
Resting CD4 regulatory T cell %CD4 regulatory T cell	GALM	Orru_2020
Resting CD4 regulatory T cell %CD4+ T cell	HNRNPLL	Orru_2020
Resting CD4 regulatory T cell %CD4+ T cell	GALM	Orru_2020
Resting CD4 regulatory T cell %CD4+ T cell	GALM	Orru_2020
CD39+ resting CD4 regulatory T cell Absolute Count	GALM	Orru_2020
CD39+ resting CD4 regulatory T cell Absolute Count	CC2D2B	Orru_2020
CD39+ resting CD4 regulatory T cell Absolute Count	ENTPD1-AS1	Orru_2020
CD39+ resting CD4 regulatory T cell %resting CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell	GALM	Orru_2020
CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell	CC2D2B	Orru_2020
CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
Activated CD4 regulatory T cell %CD4 regulatory T cell	LINC02789	Orru_2020
CD39+ activated CD4 regulatory T cell Absolute Count	ENTPD1	Orru_2020
CD39+ activated CD4 regulatory T cell Absolute Count	ENTPD1	Orru_2020
CD39+ activated CD4 regulatory T cell %activated CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD39+ activated CD4 regulatory T cell %activated CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD39+ activated CD4 regulatory T cell %activated CD4 regulatory T cell	ENTPD1	Orru_2020
CD39+ activated CD4 regulatory T cell %CD4 regulatory T cell	ENTPD1	Orru_2020
CD39+ activated CD4 regulatory T cell %CD4 regulatory T cell	ENTPD1	Orru_2020
Secreting CD4 regulatory T cell Absolute Count	IL2RA	Orru_2020
Secreting CD4 regulatory T cell %CD4 regulatory T cell	LAX1	Orru_2020
Secreting CD4 regulatory T cell %CD4 regulatory T cell	HNRNPLL	Orru_2020
Secreting CD4 regulatory T cell %CD4 regulatory T cell	GALM	Orru_2020
Secreting CD4 regulatory T cell %CD4 regulatory T cell	GALM	Orru_2020
Secreting CD4 regulatory T cell %CD4+ T cell	ELMO1	Orru_2020
Secreting CD4 regulatory T cell %CD4+ T cell	GALM	Orru_2020
CD39+ secreting CD4 regulatory T cell Absolute Count	ENTPD1	Orru_2020
CD39+ secreting CD4 regulatory T cell Absolute Count	ENTPD1	Orru_2020
CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell	ENTPD1	Orru_2020
CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell	ENTPD1	Orru_2020
Activated & resting CD4 regulatory T cell Absolute Count	GALM	Orru_2020
Activated & resting CD4 regulatory T cell %CD4 regulatory T cell	LAX1	Orru_2020
Activated & resting CD4 regulatory T cell %CD4 regulatory T cell	ATL2	Orru_2020
Activated & resting CD4 regulatory T cell %CD4 regulatory T cell	GALM	Orru_2020
Activated & resting CD4 regulatory T cell %CD4 regulatory T cell	GALM	Orru_2020
Activated & resting CD4 regulatory T cell %CD4+ T cell	GALM	Orru_2020
Activated & secreting CD4 regulatory T cell Absolute Count	IL2RA	Orru_2020
Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell	LAX1	Orru_2020
Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell	HNRNPLL	Orru_2020
Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell	GALM	Orru_2020
Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell	GALM	Orru_2020
Activated & secreting CD4 regulatory T cell %CD4+ T cell	ELMO1	Orru_2020
Activated & secreting CD4 regulatory T cell %CD4+ T cell	GALM	Orru_2020
Activated & secreting CD4 regulatory T cell %CD4+ T cell	IL2RA	Orru_2020
Activated & secreting CD4 regulatory T cell %CD4+ T cell	IL2RA	Orru_2020
CD25++ CD4+ T cell Absolute Count	IL2RA	Orru_2020
CD25++ CD4+ T cell %CD4+ T cell	IL2RA	Orru_2020
IgD- CD38dim B cell %lymphocyte	TNFSF13B	Orru_2020
IgD- CD38- B cell %lymphocyte	TNFSF13B	Orru_2020
IgD+ CD38+ B cell %lymphocyte	CD38	Orru_2020
IgD+ CD38+ B cell %lymphocyte	MRPS9-AS2	Orru_2020
IgD+ CD38dim B cell %lymphocyte	TNFSF13B	Orru_2020
IgD+ CD38- B cell %lymphocyte	TNFSF13B	Orru_2020
Unswitched memory B cell %lymphocyte	DLEU2	Orru_2020
Unswitched memory B cell %lymphocyte	TNFSF13B	Orru_2020
IgD- CD27- B cell %lymphocyte	CMTM6	Orru_2020
IgD- CD27- B cell %lymphocyte	CD40	Orru_2020
Switched memory B cell %lymphocyte	RAP1GAP2	Orru_2020
Switched memory B cell %lymphocyte	TNFSF13B	Orru_2020
Memory B cell %lymphocyte	RAP1GAP2	Orru_2020
Memory B cell %lymphocyte	DLEU2	Orru_2020
Memory B cell %lymphocyte	TNFSF13B	Orru_2020
IgD+ CD24+ B cell %lymphocyte	LINC02318	Orru_2020
IgD+ CD24+ B cell %lymphocyte	RAP1GAP2	Orru_2020
IgD+ CD24+ B cell %lymphocyte	DLEU2	Orru_2020
CD20- CD38- B cell %B cell	NUBPL	Orru_2020
IgD+ B cell %Lymphocyte	RAP1GAP2	Orru_2020
IgD+ B cell %Lymphocyte	TNFSF13B	Orru_2020
Central Memory CD4+ T cell Absolute Count	ATXN2	Orru_2020
Central Memory CD4+ T cell %CD4+ T cell	PLXDC1	Orru_2020
Central Memory CD4+ T cell %CD4+ T cell	GALM	Orru_2020
Naive CD4+ T cell %CD4+ T cell	GALM	Orru_2020
Effector Memory CD4+ T cell %T cell	KLRC2	Orru_2020
Terminally Differentiated CD4+ T cell Absolute Count	GALM	Orru_2020
Terminally Differentiated CD4+ T cell %CD4+ T cell	GALM	Orru_2020
Terminally Differentiated CD4+ T cell %T cell	GALM	Orru_2020
Naive CD8+ T cell Absolute Count	ACOXL	Orru_2020
Naive CD8+ T cell %CD8+ T cell	AGAP1	Orru_2020
Naive CD8+ T cell %T cell	ACOXL	Orru_2020
Effector Memory CD8+ T cell %CD8+ T cell	GALM	Orru_2020
Terminally Differentiated CD8+ T cell Absolute Count	GALM	Orru_2020
Terminally Differentiated CD8+ T cell %CD8+ T cell	GALM	Orru_2020
Terminally Differentiated CD8+ T cell %CD8+ T cell	GALM	Orru_2020
Terminally Differentiated CD8+ T cell %T cell	GALM	Orru_2020
CD45RA+ CD8+ T cell Absolute Count	HLA-DQA1	Orru_2020
CD45RA+ CD8+ T cell Absolute Count	GALM	Orru_2020
CD45RA+ CD8+ T cell %CD8+ T cell	GALM	Orru_2020
CD45RA+ CD8+ T cell %CD8+ T cell	GALM	Orru_2020
CD45RA+ CD8+ T cell %T cell	GALM	Orru_2020
Effector Memory CD4-CD8- T cell Absolute Count	CD8B	Orru_2020
Effector Memory CD4-CD8- T cell Absolute Count	SLFN12L	Orru_2020
Effector Memory CD4-CD8- T cell Absolute Count	TSTD3	Orru_2020
